,Data,10796 - Distribuição de desocupados segundo o tempo de procura de emprego - Até 30 dias - %
0,10/2001,0.7878787878787878
1,11/2001,0.7454545454545455
2,12/2001,0.6303030303030304
3,01/2002,0.6818181818181818
4,02/2002,0.6575757575757576
5,03/2002,0.6939393939393939
6,04/2002,0.6303030303030304
7,05/2002,0.6
8,06/2002,0.6606060606060606
9,07/2002,0.6606060606060606
10,08/2002,0.6242424242424243
11,09/2002,0.5757575757575758
12,10/2002,0.6242424242424243
13,11/2002,0.6090909090909091
14,12/2002,0.6090909090909091
15,01/2003,0.8090909090909091
16,02/2003,0.6636363636363636
17,03/2003,0.6272727272727272
18,04/2003,0.5303030303030303
19,05/2003,0.5272727272727272
20,06/2003,0.5090909090909091
21,07/2003,0.506060606060606
22,08/2003,0.49393939393939396
23,09/2003,0.4909090909090909
24,10/2003,0.4787878787878788
25,11/2003,0.503030303030303
26,12/2003,0.506060606060606
27,01/2004,0.7181818181818181
28,02/2004,0.5969696969696969
29,03/2004,0.5454545454545454
30,04/2004,0.5424242424242424
31,05/2004,0.5636363636363637
32,06/2004,0.5696969696969697
33,07/2004,0.6212121212121212
34,08/2004,0.6636363636363636
35,09/2004,0.6727272727272727
36,10/2004,0.6575757575757576
37,11/2004,0.6424242424242425
38,12/2004,0.6212121212121212
39,01/2005,0.8212121212121213
40,02/2005,0.703030303030303
41,03/2005,0.6939393939393939
42,04/2005,0.6545454545454545
43,05/2005,0.6454545454545455
44,06/2005,0.6666666666666666
45,07/2005,0.6909090909090909
46,08/2005,0.6636363636363636
47,09/2005,0.706060606060606
48,10/2005,0.6090909090909091
49,11/2005,0.6606060606060606
50,12/2005,0.6333333333333333
51,01/2006,0.7515151515151516
52,02/2006,0.6454545454545455
53,03/2006,0.5848484848484848
54,04/2006,0.5848484848484848
55,05/2006,0.5787878787878789
56,06/2006,0.6636363636363636
57,07/2006,0.7181818181818181
58,08/2006,0.6575757575757576
59,09/2006,0.6454545454545455
60,10/2006,0.6878787878787879
61,11/2006,0.6121212121212121
62,12/2006,0.6878787878787879
63,01/2007,0.790909090909091
64,02/2007,0.7454545454545455
65,03/2007,0.7393939393939394
66,04/2007,0.6939393939393939
67,05/2007,0.790909090909091
68,06/2007,0.7333333333333333
69,07/2007,0.7757575757575758
70,08/2007,0.7181818181818181
71,09/2007,0.7272727272727273
72,10/2007,0.706060606060606
73,11/2007,0.7121212121212122
74,12/2007,0.6606060606060606
75,01/2008,0.796969696969697
76,02/2008,0.7484848484848484
77,03/2008,0.6636363636363636
78,04/2008,0.6636363636363636
79,05/2008,0.709090909090909
80,06/2008,0.706060606060606
81,07/2008,0.7363636363636363
82,08/2008,0.6848484848484849
83,09/2008,0.7212121212121212
84,10/2008,0.7303030303030303
85,11/2008,0.7212121212121212
86,12/2008,0.7242424242424242
87,01/2009,1.0
88,02/2009,0.8575757575757575
89,03/2009,0.7393939393939394
90,04/2009,0.696969696969697
