,Data,10797 - Distribuição de desocupados segundo o tempo de procura de emprego - De 31 dias a 6 meses - %
0,10/2001,0.6630630630630631
1,11/2001,0.7045045045045045
2,12/2001,0.7099099099099099
3,01/2002,0.7279279279279279
4,02/2002,0.736936936936937
5,03/2002,0.7585585585585586
6,04/2002,0.7585585585585586
7,05/2002,0.8018018018018018
8,06/2002,0.7675675675675676
9,07/2002,0.7315315315315316
10,08/2002,0.736936936936937
11,09/2002,0.7333333333333334
12,10/2002,0.6846846846846847
13,11/2002,0.6936936936936937
14,12/2002,0.6738738738738739
15,01/2003,0.7459459459459459
16,02/2003,0.8936936936936937
17,03/2003,0.8972972972972972
18,04/2003,0.9405405405405406
19,05/2003,0.9369369369369369
20,06/2003,0.9315315315315316
21,07/2003,0.8666666666666667
22,08/2003,0.8378378378378378
23,09/2003,0.8198198198198198
24,10/2003,0.7945945945945946
25,11/2003,0.818018018018018
26,12/2003,0.818018018018018
27,01/2004,0.7513513513513514
28,02/2004,0.836036036036036
29,03/2004,0.8954954954954956
30,04/2004,0.8558558558558559
31,05/2004,0.827027027027027
32,06/2004,0.8288288288288288
33,07/2004,0.7675675675675676
34,08/2004,0.7351351351351351
35,09/2004,0.7351351351351351
36,10/2004,0.7297297297297297
37,11/2004,0.7333333333333334
38,12/2004,0.7387387387387387
39,01/2005,0.7045045045045045
40,02/2005,0.7981981981981981
41,03/2005,0.8612612612612612
42,04/2005,0.8432432432432432
43,05/2005,0.8306306306306307
44,06/2005,0.8216216216216217
45,07/2005,0.7837837837837838
46,08/2005,0.7549549549549549
47,09/2005,0.7657657657657657
48,10/2005,0.7855855855855857
49,11/2005,0.7747747747747747
50,12/2005,0.7693693693693694
51,01/2006,0.7477477477477478
52,02/2006,0.8198198198198198
53,03/2006,0.863063063063063
54,04/2006,0.8684684684684685
55,05/2006,0.8450450450450451
56,06/2006,0.8684684684684685
57,07/2006,0.8576576576576577
58,08/2006,0.854054054054054
59,09/2006,0.8522522522522522
60,10/2006,0.8126126126126126
61,11/2006,0.863063063063063
62,12/2006,0.8036036036036036
63,01/2007,0.8288288288288288
64,02/2007,0.8684684684684685
65,03/2007,0.863063063063063
66,04/2007,0.9009009009009009
67,05/2007,0.8432432432432432
68,06/2007,0.8738738738738738
69,07/2007,0.827027027027027
70,08/2007,0.8198198198198198
71,09/2007,0.8144144144144144
72,10/2007,0.8234234234234235
73,11/2007,0.781981981981982
74,12/2007,0.8576576576576577
75,01/2008,0.7927927927927928
76,02/2008,0.8594594594594596
77,03/2008,0.9135135135135136
78,04/2008,0.918918918918919
79,05/2008,0.8774774774774775
80,06/2008,0.9027027027027027
81,07/2008,0.8900900900900901
82,08/2008,0.918918918918919
83,09/2008,0.8864864864864865
84,10/2008,0.8594594594594596
85,11/2008,0.8774774774774775
86,12/2008,0.8954954954954956
87,01/2009,0.8306306306306307
88,02/2009,0.9315315315315316
89,03/2009,0.9765765765765766
90,04/2009,1.0
