,Data,10798 - Distribuição de desocupados segundo o tempo de procura de emprego - De 7 a 11 meses - %
0,10/2001,0.7450980392156863
1,11/2001,0.6993464052287581
2,12/2001,0.6928104575163399
3,01/2002,0.6339869281045751
4,02/2002,0.6013071895424836
5,03/2002,0.5294117647058824
6,04/2002,0.607843137254902
7,05/2002,0.5751633986928105
8,06/2002,0.6339869281045751
9,07/2002,0.6013071895424836
10,08/2002,0.6601307189542484
11,09/2002,0.7124183006535948
12,10/2002,0.6666666666666666
13,11/2002,0.6797385620915033
14,12/2002,0.7581699346405228
15,01/2003,0.5555555555555556
16,02/2003,0.48366013071895425
17,03/2003,0.5294117647058824
18,04/2003,0.5686274509803921
19,05/2003,0.542483660130719
20,06/2003,0.6013071895424836
21,07/2003,0.8169934640522876
22,08/2003,0.9019607843137255
23,09/2003,0.8758169934640523
24,10/2003,1.0
25,11/2003,0.8366013071895425
26,12/2003,0.7254901960784313
27,01/2004,0.6209150326797386
28,02/2004,0.5686274509803921
29,03/2004,0.5163398692810458
30,04/2004,0.48366013071895425
31,05/2004,0.5359477124183006
32,06/2004,0.5555555555555556
33,07/2004,0.6862745098039216
34,08/2004,0.7777777777777778
35,09/2004,0.7189542483660131
36,10/2004,0.6993464052287581
37,11/2004,0.7254901960784313
38,12/2004,0.7908496732026143
39,01/2005,0.5163398692810458
40,02/2005,0.4771241830065359
41,03/2005,0.41830065359477125
42,04/2005,0.47058823529411764
43,05/2005,0.4967320261437908
44,06/2005,0.4771241830065359
45,07/2005,0.6274509803921569
46,08/2005,0.7320261437908496
47,09/2005,0.7124183006535948
48,10/2005,0.8169934640522876
49,11/2005,0.7058823529411765
50,12/2005,0.6666666666666666
51,01/2006,0.5620915032679739
52,02/2006,0.542483660130719
53,03/2006,0.4444444444444444
54,04/2006,0.5032679738562091
55,05/2006,0.5816993464052288
56,06/2006,0.5163398692810458
57,07/2006,0.5947712418300654
58,08/2006,0.673202614379085
59,09/2006,0.7058823529411765
60,10/2006,0.7973856209150326
61,11/2006,0.7189542483660131
62,12/2006,0.6797385620915033
63,01/2007,0.4313725490196078
64,02/2007,0.47058823529411764
65,03/2007,0.48366013071895425
66,04/2007,0.45751633986928103
67,05/2007,0.4444444444444444
68,06/2007,0.4640522875816993
69,07/2007,0.5620915032679739
70,08/2007,0.6405228758169935
71,09/2007,0.6797385620915033
72,10/2007,0.7058823529411765
73,11/2007,0.6339869281045751
74,12/2007,0.5359477124183006
75,01/2008,0.5098039215686274
76,02/2008,0.41830065359477125
77,03/2008,0.4313725490196078
78,04/2008,0.3986928104575163
79,05/2008,0.4967320261437908
80,06/2008,0.4640522875816993
81,07/2008,0.4967320261437908
82,08/2008,0.5947712418300654
83,09/2008,0.7124183006535948
84,10/2008,0.738562091503268
85,11/2008,0.6928104575163399
86,12/2008,0.6143790849673203
87,01/2009,0.47058823529411764
88,02/2009,0.40522875816993464
89,03/2009,0.45098039215686275
90,04/2009,0.39215686274509803
