,Data,10799 - Distribuição de desocupados segundo o tempo de procura de emprego - Mais de 1 ano - %
0,10/2001,0.826923076923077
1,11/2001,0.8205128205128206
2,12/2001,0.9358974358974359
3,01/2002,0.875
4,02/2002,0.9038461538461539
5,03/2002,0.8621794871794871
6,04/2002,0.8910256410256411
7,05/2002,0.8621794871794871
8,06/2002,0.8301282051282051
9,07/2002,0.9102564102564102
10,08/2002,0.9102564102564102
11,09/2002,0.9423076923076923
12,10/2002,1.0
13,11/2002,0.9935897435897436
14,12/2002,0.9903846153846153
15,01/2003,0.75
16,02/2003,0.6762820512820513
17,03/2003,0.6858974358974359
18,04/2003,0.6923076923076924
19,05/2003,0.7147435897435898
20,06/2003,0.7147435897435898
21,07/2003,0.7275641025641025
22,08/2003,0.75
23,09/2003,0.798076923076923
24,10/2003,0.7948717948717949
25,11/2003,0.8076923076923077
26,12/2003,0.858974358974359
27,01/2004,0.8044871794871795
28,02/2004,0.8076923076923077
29,03/2004,0.782051282051282
30,04/2004,0.8717948717948718
31,05/2004,0.875
32,06/2004,0.8557692307692307
33,07/2004,0.8461538461538461
34,08/2004,0.8141025641025641
35,09/2004,0.8333333333333334
36,10/2004,0.8685897435897436
37,11/2004,0.8653846153846154
38,12/2004,0.8461538461538461
39,01/2005,0.8301282051282051
40,02/2005,0.8076923076923077
41,03/2005,0.7339743589743589
42,04/2005,0.782051282051282
43,05/2005,0.8012820512820513
44,06/2005,0.8044871794871795
45,07/2005,0.7724358974358975
46,08/2005,0.8012820512820513
47,09/2005,0.7467948717948718
48,10/2005,0.7628205128205129
49,11/2005,0.782051282051282
50,12/2005,0.8397435897435898
51,01/2006,0.8044871794871795
52,02/2006,0.798076923076923
53,03/2006,0.8333333333333334
54,04/2006,0.7948717948717949
55,05/2006,0.8044871794871795
56,06/2006,0.7051282051282052
57,07/2006,0.6282051282051283
58,08/2006,0.6602564102564104
59,09/2006,0.6602564102564104
60,10/2006,0.6410256410256411
61,11/2006,0.6698717948717948
62,12/2006,0.7147435897435898
63,01/2007,0.6826923076923077
64,02/2007,0.6410256410256411
65,03/2007,0.6506410256410257
66,04/2007,0.6442307692307693
67,05/2007,0.6506410256410257
68,06/2007,0.6474358974358975
69,07/2007,0.6378205128205128
70,08/2007,0.6730769230769231
71,09/2007,0.6538461538461539
72,10/2007,0.6474358974358975
73,11/2007,0.75
74,12/2007,0.717948717948718
75,01/2008,0.7019230769230769
76,02/2008,0.6794871794871795
77,03/2008,0.6666666666666667
78,04/2008,0.6730769230769231
79,05/2008,0.6506410256410257
80,06/2008,0.625
81,07/2008,0.5993589743589743
82,08/2008,0.5544871794871795
83,09/2008,0.5160256410256411
84,10/2008,0.5416666666666666
85,11/2008,0.5416666666666666
86,12/2008,0.5448717948717949
87,01/2009,0.4391025641025641
88,02/2009,0.44230769230769235
89,03/2009,0.46474358974358976
90,04/2009,0.4967948717948718
