,Data,11067 - Indicadores da produção (2002=100) - Por categoria de uso - Bens de capital - Índice
0,10/2001,0.5149455256541577
1,11/2001,0.4776049911537387
2,12/2001,0.41163050563367165
3,01/2002,0.42233913772232046
4,02/2002,0.41186330198342486
5,03/2002,0.4668497997951392
6,04/2002,0.49431976906602104
7,05/2002,0.48132973274979046
8,06/2002,0.44622404320700254
9,07/2002,0.49301610950740293
10,08/2002,0.4692243225626222
11,09/2002,0.46829313716360926
12,10/2002,0.5157835925132694
13,11/2002,0.48491479653599034
14,12/2002,0.43258217711146285
15,01/2003,0.40855759381692897
16,02/2003,0.430067976534128
17,03/2003,0.42634323493807613
18,04/2003,0.43975230468386256
19,05/2003,0.45413911909861254
20,06/2003,0.4326752956513642
21,07/2003,0.4739268088276376
22,08/2003,0.47104013409069745
23,09/2003,0.5153645590837136
24,10/2003,0.5784523698668405
25,11/2003,0.5822236707328429
26,12/2003,0.49525095446503403
27,01/2004,0.47388024955768693
28,02/2004,0.47606853524536735
29,03/2004,0.5962845702579384
30,04/2004,0.547909488779216
31,05/2004,0.5831548561318558
32,06/2004,0.5804078592047677
33,07/2004,0.5948877921594189
34,08/2004,0.6163050563367166
35,09/2004,0.5926995064717385
36,10/2004,0.6062016947574261
37,11/2004,0.6078312692056989
38,12/2004,0.5567091907998882
39,01/2005,0.5074960424620542
40,02/2005,0.48170220690939564
41,03/2005,0.5956327404786294
42,04/2005,0.562296303193966
43,05/2005,0.6068069652667847
44,06/2005,0.6288760592233913
45,07/2005,0.576403761989012
46,08/2005,0.6387466244529285
47,09/2005,0.6333457491386535
48,10/2005,0.6145823633485427
49,11/2005,0.6344631716174691
50,12/2005,0.5960517739081852
51,01/2006,0.5408790390166682
52,02/2006,0.5340348263339231
53,03/2006,0.6556476394450135
54,04/2006,0.5608995250954465
55,05/2006,0.644100940497253
56,06/2006,0.616258497066766
57,07/2006,0.6254772325169942
58,08/2006,0.682093304776981
59,09/2006,0.6351150013967781
60,10/2006,0.6729676878666542
61,11/2006,0.6834900828755006
62,12/2006,0.6321352081199367
63,01/2007,0.6366980165751001
64,02/2007,0.6110904181022442
65,03/2007,0.7386628177670175
66,04/2007,0.6623987335878574
67,05/2007,0.7728373219107925
68,06/2007,0.7212496508054753
69,07/2007,0.7450414377502561
70,08/2007,0.8206071328801564
71,09/2007,0.7675295651364187
72,10/2007,0.8600893937983052
73,11/2007,0.8474252723717292
74,12/2007,0.7576589999068815
75,01/2008,0.7324704348635813
76,02/2008,0.7613837415029332
77,03/2008,0.8364372846633765
78,04/2008,0.8588788527795884
79,05/2008,0.8276375826427042
80,06/2008,0.8831362324238756
81,07/2008,0.922525374802123
82,08/2008,0.9106062016947575
83,09/2008,0.9598193500325916
84,10/2008,1.0
85,11/2008,0.8788993388583668
86,12/2008,0.64819815625291
87,01/2009,0.6266877735357109
88,02/2009,0.575612254399851
89,03/2009,0.6572306546233355
90,04/2009,0.6073656765061923
