,Data,11068 - Indicadores da produção (2002=100) - Por categoria de uso - Bens intermediários - Índice
0,10/2001,0.7286492130976355
1,11/2001,0.6997836950846572
2,12/2001,0.6354889236965765
3,01/2002,0.6816588349369732
4,02/2002,0.6619676288506005
5,03/2002,0.7343924815394943
6,04/2002,0.7449839636011039
7,05/2002,0.7679570373685388
8,06/2002,0.7543820392332364
9,07/2002,0.7910046990378161
10,08/2002,0.7847393152830611
11,09/2002,0.767285746251958
12,10/2002,0.8089803833818154
13,11/2002,0.76124412620273
14,12/2002,0.6915044379801596
15,01/2003,0.7129111658089058
16,02/2003,0.68508987842172
17,03/2003,0.7697471470127546
18,04/2003,0.7473707764600582
19,05/2003,0.7768329976877751
20,06/2003,0.7458790184232118
21,07/2003,0.7890654135899158
22,08/2003,0.7857835459088536
23,09/2003,0.8052509882896994
24,10/2003,0.8290445289774
25,11/2003,0.7663161035280077
26,12/2003,0.7183560826433953
27,01/2004,0.7329007235026479
28,02/2004,0.7174610278212874
29,03/2004,0.8255388975908109
30,04/2004,0.7886178861788619
31,05/2004,0.8342656821063623
32,06/2004,0.8302379354068771
33,07/2004,0.8706645782054152
34,08/2004,0.875065264414112
35,09/2004,0.8583575744014321
36,10/2004,0.8699932870888343
37,11/2004,0.8299395837995077
38,12/2004,0.7725068993809204
39,01/2005,0.762437532632207
40,02/2005,0.7246960542999925
41,03/2005,0.824196315357649
42,04/2005,0.8190497501305289
43,05/2005,0.8577608711866935
44,06/2005,0.855746997836951
45,07/2005,0.8559707615424779
46,08/2005,0.8803610054449169
47,09/2005,0.8505258447079884
48,10/2005,0.8653688371746103
49,11/2005,0.8277019467442381
50,12/2005,0.7746699485343478
51,01/2006,0.7836204967554263
52,02/2006,0.7417766838218841
53,03/2006,0.8500037293950922
54,04/2006,0.8059968673081227
55,05/2006,0.891549190721265
56,06/2006,0.8525397180577311
57,07/2006,0.885955098083091
58,08/2006,0.910569105691057
59,09/2006,0.8579100469903782
60,10/2006,0.8811814723651824
61,11/2006,0.8545535914074737
62,12/2006,0.7868277765346461
63,01/2007,0.8083090922652346
64,02/2007,0.767509509957485
65,03/2007,0.8907287238009995
66,04/2007,0.8478406802416648
67,05/2007,0.9186245990900276
68,06/2007,0.8973670470649662
69,07/2007,0.9295144327590066
70,08/2007,0.9501752815693295
71,09/2007,0.8875214440217797
72,10/2007,0.9593495934959351
73,11/2007,0.8953531737152235
74,12/2007,0.8402327142537481
75,01/2008,0.8732751547698964
76,02/2008,0.8472439770269263
77,03/2008,0.8957261132244351
78,04/2008,0.8969195196539121
79,05/2008,0.9400313269187738
80,06/2008,0.9443574252256285
81,07/2008,1.0
82,08/2008,0.9667337957783249
83,09/2008,0.9445811889311554
84,10/2008,0.9353322891027076
85,11/2008,0.8259118371000225
86,12/2008,0.6852390542254047
87,01/2009,0.6947117177593795
88,02/2009,0.6700977101514135
89,03/2009,0.7769821734914597
90,04/2009,0.7578876706198255
