,Data,11070 - Indicadores da produção (2002=100) - Por categoria de uso - Bens de consumo (duráveis) - Índice
0,10/2001,0.5167424123700569
1,11/2001,0.5378467324870709
2,12/2001,0.4122133416914799
3,01/2002,0.4443922060283132
4,02/2002,0.43488481429243064
5,03/2002,0.5270333803479078
6,04/2002,0.5828240087760539
7,05/2002,0.5307945463093559
8,06/2002,0.46356370474847197
9,07/2002,0.5188319490153058
10,08/2002,0.5061902523115499
11,09/2002,0.5430183356840621
12,10/2002,0.6310923052813039
13,11/2002,0.612861098051507
14,12/2002,0.47280990440369847
15,01/2003,0.48263072663636836
16,02/2003,0.49438437026589355
17,03/2003,0.4632502742516847
18,04/2003,0.5164289818732696
19,05/2003,0.5185707569346497
20,06/2003,0.4700935067648748
21,07/2003,0.5086976962858486
22,08/2003,0.5119364780859844
23,09/2003,0.6107193229901269
24,10/2003,0.6739800449250379
25,11/2003,0.66509951418273
26,12/2003,0.5384735934806456
27,01/2004,0.5543540719845375
28,02/2004,0.5114140939246722
29,03/2004,0.667450242908635
30,04/2004,0.6348012328266206
31,05/2004,0.6402340281042679
32,06/2004,0.6384579219558063
33,07/2004,0.6430549025753539
34,08/2004,0.6970171864389072
35,09/2004,0.7184349370527086
36,10/2004,0.7346288460533876
37,11/2004,0.7941284020268505
38,12/2004,0.6300997753748107
39,01/2005,0.5727942328788591
40,02/2005,0.6131222901321632
41,03/2005,0.7543227289348587
42,04/2005,0.7483675494958992
43,05/2005,0.7781956851068276
44,06/2005,0.7890612756621219
45,07/2005,0.727681136707935
46,08/2005,0.7893747061589093
47,09/2005,0.7218826725173693
48,10/2005,0.7535913911090215
49,11/2005,0.7929269184558323
50,12/2005,0.720890142610876
51,01/2006,0.6813979000156715
52,02/2006,0.708457399571645
53,03/2006,0.83853105573839
54,04/2006,0.7518675233766913
55,05/2006,0.8377474794964217
56,06/2006,0.756255550331714
57,07/2006,0.7356213759598809
58,08/2006,0.8321579689703809
59,09/2006,0.7599644778770307
60,10/2006,0.8458444339967611
61,11/2006,0.8653816016298386
62,12/2006,0.6542861620435668
63,01/2007,0.7115917045395184
64,02/2007,0.6899650002611921
65,03/2007,0.8789635898239565
66,04/2007,0.7920911037977328
67,05/2007,0.8878441205662645
68,06/2007,0.8161730136342267
69,07/2007,0.8490309773807658
70,08/2007,0.9403959671942747
71,09/2007,0.8592697069424855
72,10/2007,1.0
73,11/2007,0.9611868568145013
74,12/2007,0.722300579846419
75,01/2008,0.8230162461474169
76,02/2008,0.8323146842187745
77,03/2008,0.9368959933134827
78,04/2008,0.9694927649793658
79,05/2008,0.9372616622264012
80,06/2008,0.9402914903620122
81,07/2008,0.9325079663584599
82,08/2008,0.9668808441728046
83,09/2008,0.9886120252833934
84,10/2008,0.9952463041320587
85,11/2008,0.7477929269184558
86,12/2008,0.42104163401765654
87,01/2009,0.5674659144334744
88,02/2009,0.6296296296296297
89,03/2009,0.8096432116178238
90,04/2009,0.7575092723188632
