,Data,11071 - Indicadores da produção (2002=100) - Por categoria de uso - Bens de consumo (não-duráveis e semiduráveis) - Índice
0,10/2001,0.8692759295499022
1,11/2001,0.874050880626223
2,12/2001,0.7313502935420744
3,01/2002,0.722504892367906
4,02/2002,0.6838356164383561
5,03/2002,0.7375342465753425
6,04/2002,0.757573385518591
7,05/2002,0.7567906066536204
8,06/2002,0.7214872798434443
9,07/2002,0.8021135029354207
10,08/2002,0.8428180039138944
11,09/2002,0.8187866927592955
12,10/2002,0.921252446183953
13,11/2002,0.8646575342465753
14,12/2002,0.763522504892368
15,01/2003,0.7053620352250489
16,02/2003,0.6796868884540117
17,03/2003,0.7029354207436399
18,04/2003,0.6942465753424657
19,05/2003,0.7315851272015655
20,06/2003,0.7014481409001957
21,07/2003,0.7538160469667319
22,08/2003,0.7718199608610568
23,09/2003,0.8136986301369863
24,10/2003,0.8697455968688845
25,11/2003,0.8287279843444227
26,12/2003,0.7772994129158513
27,01/2004,0.7047358121330725
28,02/2004,0.6587866927592955
29,03/2004,0.7718982387475538
30,04/2004,0.7137377690802349
31,05/2004,0.7460665362035225
32,06/2004,0.7482583170254403
33,07/2004,0.7898238747553816
34,08/2004,0.8262230919765167
35,09/2004,0.8563600782778865
36,10/2004,0.8683365949119374
37,11/2004,0.8777299412915851
38,12/2004,0.832641878669276
39,01/2005,0.7719765166340509
40,02/2005,0.6934637964774951
41,03/2005,0.7850489236790608
42,04/2005,0.775812133072407
43,05/2005,0.801095890410959
44,06/2005,0.8039138943248533
45,07/2005,0.8136986301369863
46,08/2005,0.8885322896281801
47,09/2005,0.8558904109589042
48,10/2005,0.8802348336594912
49,11/2005,0.8990998043052838
50,12/2005,0.8541682974559687
51,01/2006,0.7724461839530333
52,02/2006,0.7368297455968689
53,03/2006,0.8337377690802349
54,04/2006,0.7577299412915851
55,05/2006,0.841252446183953
56,06/2006,0.8165949119373777
57,07/2006,0.8419569471624266
58,08/2006,0.9000391389432486
59,09/2006,0.876320939334638
60,10/2006,0.9306457925636008
61,11/2006,0.923679060665362
62,12/2006,0.8526810176125245
63,01/2007,0.7912328767123288
64,02/2007,0.743013698630137
65,03/2007,0.8378864970645793
66,04/2007,0.789119373776908
67,05/2007,0.8747553816046967
68,06/2007,0.8609001956947163
69,07/2007,0.8745205479452055
70,08/2007,0.9387084148727984
71,09/2007,0.894559686888454
72,10/2007,0.9893542074363992
73,11/2007,0.9639921722113504
74,12/2007,0.8644227005870841
75,01/2008,0.8381996086105675
76,02/2008,0.7514677103718199
77,03/2008,0.8128375733855187
78,04/2008,0.8338160469667318
79,05/2008,0.8738160469667319
80,06/2008,0.8659882583170254
81,07/2008,0.9196868884540117
82,08/2008,0.9271232876712329
83,09/2008,0.9574951076320939
84,10/2008,1.0
85,11/2008,0.9353424657534246
86,12/2008,0.8478277886497064
87,01/2009,0.7664970645792564
88,02/2009,0.7297847358121331
89,03/2009,0.8389041095890412
90,04/2009,0.8019569471624266
