,Data,1483 - Índice volume de vendas no varejo - Combustíveis e lubrificantes - Brasil - Índice
0,10/2001,0.8925714285714285
1,11/2001,0.8594285714285714
2,12/2001,0.8857142857142857
3,01/2002,0.8788571428571429
4,02/2002,0.8308571428571428
5,03/2002,0.9131428571428573
6,04/2002,0.896
7,05/2002,0.9039999999999999
8,06/2002,0.8605714285714285
9,07/2002,0.9577142857142856
10,08/2002,1.0
11,09/2002,0.9611428571428571
12,10/2002,0.9748571428571429
13,11/2002,0.8971428571428571
14,12/2002,0.9291428571428572
15,01/2003,0.838857142857143
16,02/2003,0.7782857142857142
17,03/2003,0.838857142857143
18,04/2003,0.8377142857142856
19,05/2003,0.8845714285714287
20,06/2003,0.8502857142857143
21,07/2003,0.9394285714285715
22,08/2003,0.9142857142857143
23,09/2003,0.8857142857142857
24,10/2003,0.9325714285714285
25,11/2003,0.9039999999999999
26,12/2003,0.9257142857142857
27,01/2004,0.8811428571428571
28,02/2004,0.824
29,03/2004,0.936
30,04/2004,0.9131428571428573
31,05/2004,0.92
32,06/2004,0.9165714285714286
33,07/2004,0.9702857142857143
34,08/2004,0.9291428571428572
35,09/2004,0.9222857142857143
36,10/2004,0.944
37,11/2004,0.9039999999999999
38,12/2004,0.9542857142857143
39,01/2005,0.872
40,02/2005,0.7737142857142858
41,03/2005,0.8548571428571429
42,04/2005,0.824
43,05/2005,0.8560000000000001
44,06/2005,0.8582857142857142
45,07/2005,0.872
46,08/2005,0.872
47,09/2005,0.8537142857142858
48,10/2005,0.8594285714285714
49,11/2005,0.8262857142857143
50,12/2005,0.8845714285714287
51,01/2006,0.7965714285714286
52,02/2006,0.7211428571428572
53,03/2006,0.7748571428571428
54,04/2006,0.7337142857142858
55,05/2006,0.7554285714285713
56,06/2006,0.7497142857142857
57,07/2006,0.7839999999999999
58,08/2006,0.8171428571428572
59,09/2006,0.7965714285714286
60,10/2006,0.8102857142857144
61,11/2006,0.801142857142857
62,12/2006,0.8445714285714286
63,01/2007,0.8171428571428572
64,02/2007,0.7588571428571429
65,03/2007,0.8285714285714286
66,04/2007,0.7839999999999999
67,05/2007,0.7988571428571429
68,06/2007,0.7942857142857143
69,07/2007,0.8217142857142857
70,08/2007,0.8502857142857143
71,09/2007,0.8262857142857143
72,10/2007,0.8582857142857142
73,11/2007,0.8525714285714285
74,12/2007,0.872
75,01/2008,0.8422857142857143
76,02/2008,0.8148571428571428
77,03/2008,0.872
78,04/2008,0.8502857142857143
79,05/2008,0.9017142857142858
80,06/2008,0.8925714285714285
81,07/2008,0.9474285714285715
82,08/2008,0.9497142857142856
83,09/2008,0.9337142857142857
84,10/2008,0.952
85,11/2008,0.8971428571428571
86,12/2008,0.9268571428571428
87,01/2009,0.8742857142857143
88,02/2009,0.8205714285714285
89,03/2009,0.9119999999999999
90,04/2009,0.88
