,Data,"1509 - Índice volume de vendas no varejo - Tecido, vestuário e calçado - Brasil - Índice"
0,10/2001,0.39274738783036267
1,11/2001,0.42409342347879536
2,12/2001,0.7916410571604181
3,01/2002,0.31468961278426555
4,02/2002,0.3030116779348494
5,03/2002,0.34296250768285186
6,04/2002,0.34910878918254457
7,05/2002,0.43700061462815
8,06/2002,0.39643515673017826
9,07/2002,0.4105716041794714
10,08/2002,0.4105716041794714
11,09/2002,0.3521819299323909
12,10/2002,0.39520590043023973
13,11/2002,0.42593730792870316
14,12/2002,0.7830362630608483
15,01/2003,0.31100184388444996
16,02/2003,0.320221266133989
17,03/2003,0.3251382913337431
18,04/2003,0.34910878918254457
19,05/2003,0.38721573448063923
20,06/2003,0.3779963122311002
21,07/2003,0.3841425937307929
22,08/2003,0.3829133374308543
23,09/2003,0.3405039950829748
24,10/2003,0.3878303626306085
25,11/2003,0.4136447449293178
26,12/2003,0.7885679164105718
27,01/2004,0.3171481253841426
28,02/2004,0.3017824216349109
29,03/2004,0.34787953288260604
30,04/2004,0.34849416103257536
31,05/2004,0.4763368162261832
32,06/2004,0.4314689612784266
33,07/2004,0.41487400122925633
34,08/2004,0.3792255685310388
35,09/2004,0.354640442532268
36,10/2004,0.3822987092808851
37,11/2004,0.4142593730792871
38,12/2004,0.8272894898586356
39,01/2005,0.329440688383528
40,02/2005,0.3017824216349109
41,03/2005,0.34972341733251383
42,04/2005,0.40012292562999385
43,05/2005,0.44744929317762755
44,06/2005,0.43700061462815
45,07/2005,0.4443761524277812
46,08/2005,0.41917639827904124
47,09/2005,0.39520590043023973
48,10/2005,0.41794714197910265
49,11/2005,0.44990780577750467
50,12/2005,0.8942839582052858
51,01/2006,0.35709895513214507
52,02/2006,0.320221266133989
53,03/2006,0.3534111862323295
54,04/2006,0.38721573448063923
55,05/2006,0.4892440073755378
56,06/2006,0.4253226797787339
57,07/2006,0.42224953902888757
58,08/2006,0.42470805162876457
59,09/2006,0.4056545789797173
60,10/2006,0.41118623232944074
61,11/2006,0.4812538414259373
62,12/2006,0.9114935464044255
63,01/2007,0.38045482483097726
64,02/2007,0.33128457283343576
65,03/2007,0.389059618930547
66,04/2007,0.4031960663798402
67,05/2007,0.5679164105716042
68,06/2007,0.49477566072526125
69,07/2007,0.4658881376767056
70,08/2007,0.47940995697602956
71,09/2007,0.4339274738783036
72,10/2007,0.47387830362630606
73,11/2007,0.5402581438229872
74,12/2007,1.0
75,01/2008,0.43884449907805784
76,02/2008,0.3724646588813768
77,03/2008,0.4357713583282115
78,04/2008,0.4830977258758451
79,05/2008,0.5894283958205286
80,06/2008,0.5464044253226799
81,07/2008,0.5052243392747389
82,08/2008,0.5003073140749847
83,09/2008,0.4744929317762754
84,10/2008,0.47510755992624465
85,11/2008,0.49293177627535345
86,12/2008,0.9348494161032576
87,01/2009,0.41794714197910265
88,02/2009,0.34726490473263677
89,03/2009,0.40012292562999385
90,04/2009,0.4363859864781807
