,Data,1522 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Índice
0,10/2001,0.34461910519951633
1,11/2001,0.34340991535671095
2,12/2001,0.5380894800483675
3,01/2002,0.3373639661426844
4,02/2002,0.28536880290205563
5,03/2002,0.3264812575574365
6,04/2002,0.32889963724304716
7,05/2002,0.3627569528415961
8,06/2002,0.3083434099153567
9,07/2002,0.32406287787182586
10,08/2002,0.33252720677146314
11,09/2002,0.3047158403869407
12,10/2002,0.34340991535671095
13,11/2002,0.3373639661426844
14,12/2002,0.4933494558645707
15,01/2003,0.30108827085852474
16,02/2003,0.2781136638452237
17,03/2003,0.2744860943168077
18,04/2003,0.2756952841596131
19,05/2003,0.32406287787182586
20,06/2003,0.29383313180169285
21,07/2003,0.3204353083434099
22,08/2003,0.32889963724304716
23,09/2003,0.3264812575574365
24,10/2003,0.3639661426844015
25,11/2003,0.3688029020556227
26,12/2003,0.5961305925030229
27,01/2004,0.35792019347037485
28,02/2004,0.32406287787182586
29,03/2004,0.37484885126964934
30,04/2004,0.36638452237001207
31,05/2004,0.4365175332527207
32,06/2004,0.40024183796856105
33,07/2004,0.4244256348246675
34,08/2004,0.4220072551390568
35,09/2004,0.3929866989117291
36,10/2004,0.43409915356711
37,11/2004,0.4486094316807739
38,12/2004,0.7376058041112454
39,01/2005,0.42926239419588874
40,02/2005,0.3784764207980653
41,03/2005,0.44135429262394194
42,04/2005,0.4546553808948005
43,05/2005,0.5175332527206771
44,06/2005,0.4848851269649335
45,07/2005,0.494558645707376
46,08/2005,0.4933494558645707
47,09/2005,0.44135429262394194
48,10/2005,0.4848851269649335
49,11/2005,0.5139056831922612
50,12/2005,0.807738814993954
51,01/2006,0.4824667472793228
52,02/2006,0.41475211608222484
53,03/2006,0.48851269649334944
54,04/2006,0.46795646916565903
55,05/2006,0.5961305925030229
56,06/2006,0.5006045949214026
57,07/2006,0.5030229746070133
58,08/2006,0.5465538089480049
59,09/2006,0.532043530834341
60,10/2006,0.5731559854897218
61,11/2006,0.5876662636033857
62,12/2006,0.8561064087061668
63,01/2007,0.5985489721886336
64,02/2007,0.494558645707376
65,03/2007,0.5755743651753326
66,04/2007,0.528415961305925
67,05/2007,0.6577992744860943
68,06/2007,0.5804111245465537
69,07/2007,0.5949214026602176
70,08/2007,0.6396614268440145
71,09/2007,0.599758162031439
72,10/2007,0.6517533252720676
73,11/2007,0.6795646916565901
74,12/2007,0.9564691656590084
75,01/2008,0.6940749697702538
76,02/2008,0.6033857315598549
77,03/2008,0.6577992744860943
78,04/2008,0.675937122128174
79,05/2008,0.7642079806529625
80,06/2008,0.6747279322853688
81,07/2008,0.7122128174123337
82,08/2008,0.7243047158403869
83,09/2008,0.7267230955259976
84,10/2008,0.7545344619105199
85,11/2008,0.7110036275695284
86,12/2008,1.0
87,01/2009,0.73639661426844
88,02/2009,0.5912938331318016
89,03/2009,0.6517533252720676
90,04/2009,0.6082224909310762
