,Data,"1548 - Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Brasil - Índice"
0,10/2001,0.6106094808126411
1,11/2001,0.5744920993227991
2,12/2001,0.5417607223476298
3,01/2002,0.5496613995485328
4,02/2002,0.4683972911963883
5,03/2002,0.5485327313769752
6,04/2002,0.5880361173814899
7,05/2002,0.5169300225733634
8,06/2002,0.45823927765237027
9,07/2002,0.525959367945824
10,08/2002,0.5327313769751694
11,09/2002,0.5304740406320542
12,10/2002,0.5496613995485328
13,11/2002,0.489841986455982
14,12/2002,0.4887133182844244
15,01/2003,0.47742663656884876
16,02/2003,0.4887133182844244
17,03/2003,0.44469525959367945
18,04/2003,0.4627539503386005
19,05/2003,0.4548532731376975
20,06/2003,0.43792325056433407
21,07/2003,0.4683972911963883
22,08/2003,0.44582392776523705
23,09/2003,0.5090293453724606
24,10/2003,0.5293453724604966
25,11/2003,0.5191873589164786
26,12/2003,0.5609480812641084
27,01/2004,0.5169300225733634
28,02/2004,0.48532731376975174
29,03/2004,0.5891647855530475
30,04/2004,0.5225733634311512
31,05/2004,0.5496613995485328
32,06/2004,0.5654627539503386
33,07/2004,0.572234762979684
34,08/2004,0.5891647855530475
35,09/2004,0.5880361173814899
36,10/2004,0.5812641083521445
37,11/2004,0.608352144469526
38,12/2004,0.664785553047404
39,01/2005,0.5756207674943566
40,02/2005,0.4808126410835215
41,03/2005,0.5925507900677202
42,04/2005,0.5485327313769752
43,05/2005,0.5598194130925508
44,06/2005,0.5677200902934537
45,07/2005,0.5451467268623025
46,08/2005,0.6207674943566592
47,09/2005,0.5744920993227991
48,10/2005,0.5778781038374718
49,11/2005,0.6252821670428894
50,12/2005,0.6693002257336343
51,01/2006,0.5756207674943566
52,02/2006,0.48419864559819414
53,03/2006,0.6286681715575622
54,04/2006,0.5203160270880361
55,05/2006,0.6297968397291196
56,06/2006,0.5451467268623025
57,07/2006,0.6309255079006773
58,08/2006,0.6839729119638827
59,09/2006,0.6309255079006773
60,10/2006,0.6817155756207676
61,11/2006,0.7020316027088037
62,12/2006,0.7234762979683973
63,01/2007,0.6580135440180587
64,02/2007,0.5801354401805869
65,03/2007,0.7437923250564336
66,04/2007,0.6975169300225734
67,05/2007,0.7584650112866818
68,06/2007,0.7223476297968398
69,07/2007,0.7742663656884876
70,08/2007,0.8623024830699776
71,09/2007,0.7595936794582393
72,10/2007,0.8860045146726863
73,11/2007,0.8566591422121898
74,12/2007,0.8227990970654628
75,01/2008,0.7945823927765239
76,02/2008,0.7573363431151241
77,03/2008,0.8532731376975169
78,04/2008,0.9029345372460498
79,05/2008,0.8656884875846502
80,06/2008,0.9153498871331829
81,07/2008,0.9661399548532731
82,08/2008,0.8826185101580136
83,09/2008,0.9774266365688488
84,10/2008,0.8216704288939052
85,11/2008,0.6828442437923251
86,12/2008,0.7844243792325057
87,01/2009,0.7923250564334087
88,02/2009,0.7562076749435667
89,03/2009,1.0
90,04/2009,0.7990970654627539
