,Data,1561 - Índice volume de vendas no varejo - Hipermercados e supermercados - Brasil - Índice
0,10/2001,0.6209503239740821
1,11/2001,0.613390928725702
2,12/2001,0.7991360691144709
3,01/2002,0.5971922246220303
4,02/2002,0.5712742980561555
5,03/2002,0.6695464362850972
6,04/2002,0.591792656587473
7,05/2002,0.6252699784017279
8,06/2002,0.5950323974082073
9,07/2002,0.6069114470842333
10,08/2002,0.6295896328293736
11,09/2002,0.5799136069114471
12,10/2002,0.6220302375809936
13,11/2002,0.6090712742980562
14,12/2002,0.7375809935205184
15,01/2003,0.5712742980561555
16,02/2003,0.5485961123110151
17,03/2003,0.5842332613390929
18,04/2003,0.5896328293736501
19,05/2003,0.5874730021598272
20,06/2003,0.5442764578833693
21,07/2003,0.5745140388768899
22,08/2003,0.5950323974082073
23,09/2003,0.5604751619870411
24,10/2003,0.5971922246220303
25,11/2003,0.5950323974082073
26,12/2003,0.7505399568034558
27,01/2004,0.5885529157667387
28,02/2004,0.5755939524838013
29,03/2004,0.6058315334773219
30,04/2004,0.6317494600431965
31,05/2004,0.6166306695464363
32,06/2004,0.5950323974082073
33,07/2004,0.6371490280777539
34,08/2004,0.6198704103671706
35,09/2004,0.6144708423326134
36,10/2004,0.66414686825054
37,11/2004,0.6360691144708424
38,12/2004,0.8444924406047517
39,01/2005,0.6274298056155508
40,02/2005,0.5701943844492441
41,03/2005,0.6619870410367171
42,04/2005,0.6187904967602592
43,05/2005,0.6187904967602592
44,06/2005,0.6090712742980562
45,07/2005,0.6511879049676026
46,08/2005,0.6414686825053996
47,09/2005,0.6306695464362851
48,10/2005,0.6663066954643629
49,11/2005,0.6457883369330454
50,12/2005,0.8509719222462203
51,01/2006,0.6511879049676026
52,02/2006,0.613390928725702
53,03/2006,0.6749460043196545
54,04/2006,0.7095032397408209
55,05/2006,0.6663066954643629
56,06/2006,0.66414686825054
57,07/2006,0.685745140388769
58,08/2006,0.6933045356371491
59,09/2006,0.7019438444924406
60,10/2006,0.7105831533477321
61,11/2006,0.7084233261339092
62,12/2006,0.9125269978401729
63,01/2007,0.6846652267818575
64,02/2007,0.6652267818574514
65,03/2007,0.7526997840172787
66,04/2007,0.7408207343412527
67,05/2007,0.7235421166306696
68,06/2007,0.7203023758099353
69,07/2007,0.7203023758099353
70,08/2007,0.736501079913607
71,09/2007,0.7483801295896328
72,10/2007,0.7494600431965444
73,11/2007,0.7537796976241901
74,12/2007,0.9697624190064795
75,01/2008,0.7440604751619871
76,02/2008,0.7203023758099353
77,03/2008,0.8153347732181426
78,04/2008,0.7408207343412527
79,05/2008,0.7818574514038878
80,06/2008,0.7289416846652268
81,07/2008,0.7570194384449244
82,08/2008,0.7926565874730023
83,09/2008,0.7548596112311016
84,10/2008,0.8023758099352052
85,11/2008,0.796976241900648
86,12/2008,1.0
87,01/2009,0.7937365010799137
88,02/2009,0.7602591792656589
89,03/2009,0.8099352051835854
90,04/2009,0.8455723542116631
