,Data,1620 - Taxa de desemprego - Região metropolitana - Brasil (na semana) - Desativada - Var. % mensal
0,10/2001,0.8506493506493507
1,11/2001,0.8311688311688312
2,12/2001,0.7272727272727272
3,01/2002,0.887012987012987
4,02/2002,0.9064935064935066
5,03/2002,0.9207792207792207
6,04/2002,0.9831168831168832
7,05/2002,1.0
8,06/2002,0.974025974025974
9,07/2002,0.977922077922078
10,08/2002,0.948051948051948
11,09/2002,0.9753246753246753
12,10/2002,0.9558441558441558
13,11/2002,0.9181818181818182
14,12/2002,0.6805194805194805
