,Data,2852 - Investimento brasileiro direto - IBD (líquido) - mensal - US$ (milhões)
0,10/2001,0.00290546077627952
1,11/2001,-0.10340460403784549
2,12/2001,0.19685117584245948
3,01/2002,-0.002185303831731605
4,02/2002,-0.08589734038590478
5,03/2002,-0.042588591720678436
6,04/2002,-0.0528197869328764
7,05/2002,-0.05003849114703618
8,06/2002,-0.02297052323126971
9,07/2002,-0.16220914350989596
10,08/2002,-0.06610544090988105
11,09/2002,-0.08554967841267476
12,10/2002,-0.014030643919640418
13,11/2002,-0.009113710298244308
14,12/2002,-0.022821525242742557
15,01/2003,-0.044947726539025054
16,02/2003,-0.06973105863070848
17,03/2003,-0.0581092155255904
18,04/2003,0.00928754128485932
19,05/2003,-0.005860587548734759
20,06/2003,0.006382080508579801
21,07/2003,-0.021728873326876754
22,08/2003,0.02592565000372495
23,09/2003,0.10337977103975764
24,10/2003,-0.0040726116864089
25,11/2003,0.00727606843974273
26,12/2003,-0.009684869254265068
27,01/2004,-0.025354491047704188
28,02/2004,-0.000173830986615014
29,03/2004,-0.05691723161737316
30,04/2004,-0.004842434627132534
31,05/2004,-0.0022846358240830415
32,06/2004,-0.11410762621371277
33,07/2004,-0.18694280960540363
34,08/2004,-1.7175494797486899
35,09/2004,-0.11080483746802751
36,10/2004,-0.03300305445876481
37,11/2004,-0.05656956964414314
38,12/2004,-0.12684695423278453
39,01/2005,-0.010653356179691573
40,02/2005,-0.022300032282897512
41,03/2005,-0.1897737713874196
42,04/2005,0.012366833047753854
43,05/2005,-0.16690258014850132
44,06/2005,-0.06518661998063026
45,07/2005,-0.07010355360202637
46,08/2005,-0.051131143062901986
47,09/2005,-0.03054458764806675
48,10/2005,-0.0007698229407236335
49,11/2005,-0.06558394795003601
50,12/2005,0.03558568625990216
51,01/2006,-0.2957113412302267
52,02/2006,-0.4415307060021356
53,03/2006,-0.0403039558965954
54,04/2006,-0.08535101442797188
55,05/2006,-0.0970721895254414
56,06/2006,-0.15806203282922346
57,07/2006,-0.162904467456356
58,08/2006,-0.3187066974595843
59,09/2006,-0.3386475949241352
60,10/2006,-3.730437805756289
61,11/2006,-0.5258884005065931
62,12/2006,-0.8089349127120117
63,01/2007,1.0
64,02/2007,-0.1551814050510318
65,03/2007,-0.36400208597183936
66,04/2007,0.19940897464550894
67,05/2007,0.19064292632049468
68,06/2007,-0.020139561449253766
69,07/2007,0.04435173458491643
70,08/2007,0.4349996275050287
71,09/2007,-0.5108396036653505
72,10/2007,-1.029749931709255
73,11/2007,-0.6057264893590603
74,12/2007,-0.9386376617249
75,01/2008,-0.3346494822319898
76,02/2008,-0.25118577565869527
77,03/2008,-0.5200278129578584
78,04/2008,-0.40835382055675584
79,05/2008,-0.3574710074747324
80,06/2008,-0.25863567508505303
81,07/2008,-0.10233678512006755
82,08/2008,-0.8402741562988899
83,09/2008,-0.7531599990066801
84,10/2008,-0.05952469641659837
85,11/2008,-0.4128485932106583
86,12/2008,-0.7816434478134545
87,01/2009,0.000670490948372197
88,02/2009,0.16869055601082716
89,03/2009,-0.07189152946435223
90,04/2009,-0.6936104695919938
