,Data,2946 - Exportações - Total - US$
0,10/2001,0.2449003291594411
1,11/2001,0.22034098907221242
2,12/2001,0.2127746451689357
3,01/2002,0.1944104334295371
4,02/2002,0.1791069542232433
5,03/2002,0.20859723248461418
6,04/2002,0.22726127137019295
7,05/2002,0.2174784437022925
8,06/2002,0.19972142216585287
9,07/2002,0.30465240254735315
10,08/2002,0.28154800265709284
11,09/2002,0.31772748174482035
12,10/2002,0.31695529773739595
13,11/2002,0.2510726433349446
14,12/2002,0.25669996130674677
15,01/2003,0.23524936960988116
16,02/2003,0.24492337642082698
17,03/2003,0.2565297661495047
18,04/2003,0.27968757731954536
19,05/2003,0.31203169040242074
20,06/2003,0.28765464424683596
21,07/2003,0.2989780837583143
22,08/2003,0.3136021017067512
23,09/2003,0.35651329135415966
24,10/2003,0.3705704269799242
25,11/2003,0.29304234275393554
26,12/2003,0.3305901368147542
27,01/2004,0.2840612086964517
28,02/2004,0.2803346146032745
29,03/2004,0.38843952362321454
30,04/2004,0.32302380626019017
31,05/2004,0.38921635322712267
32,06/2004,0.4570556588980726
33,07/2004,0.44061921352437383
34,08/2004,0.4436738655477297
35,09/2004,0.43711303885085
36,10/2004,0.4333026233013121
37,11/2004,0.39984085194396785
38,12/2004,0.45049928050076987
39,01/2005,0.3646296160073508
40,02/2005,0.38001676303756887
41,03/2005,0.4532907397707455
42,04/2005,0.45085236470753737
43,05/2005,0.48093140363602666
44,06/2005,0.49995732934867815
45,07/2005,0.5417491748232169
46,08/2005,0.5557691076357254
47,09/2005,0.5209529534006884
48,10/2005,0.4851960635551177
49,11/2005,0.5285334042039339
50,12/2005,0.5337695404007938
51,01/2006,0.45409338686063705
52,02/2006,0.42903939423708637
53,03/2006,0.557260618366817
54,04/2006,0.48068536500522424
55,05/2006,0.5038715881033478
56,06/2006,0.5605113458163545
57,07/2006,0.6674868538019909
58,08/2006,0.6684966734500535
59,09/2006,0.6149628133215725
60,10/2006,0.6204586839284126
61,11/2006,0.5817141500543715
62,12/2006,0.5997059828785555
63,01/2007,0.5370714010476125
64,02/2007,0.4952961697328904
65,03/2007,0.6302233305518925
66,04/2007,0.6085728124474871
67,05/2007,0.6673026957935253
68,06/2007,0.6414268293865051
69,07/2007,0.6903948152593198
70,08/2007,0.738336795509884
71,09/2007,0.692650280687625
72,10/2007,0.7709894615430265
73,11/2007,0.687059234737526
74,12/2007,0.6958348198901436
75,01/2008,0.6491916266448775
76,02/2008,0.6258697870805638
77,03/2008,0.6167190588512854
78,04/2008,0.6874063898666437
79,05/2008,0.9438646595288588
80,06/2008,0.9091454898032639
81,07/2008,1.0
82,08/2008,0.9655503606347178
83,09/2008,0.978769051688288
84,10/2008,0.905184888229988
85,11/2008,0.7213474442579308
86,12/2008,0.675620809024119
87,01/2009,0.47830051040742044
88,02/2009,0.46874056262518254
89,03/2009,0.5774284133003501
90,04/2009,0.6024825198524739
