,Data,2947 - Exportações - Produtos básicos - US$
0,10/2001,0.16291977195239896
1,11/2001,0.12698489214401718
2,12/2001,0.12293755165706209
3,01/2002,0.1032884874889979
4,02/2002,0.09846554876410213
5,03/2002,0.1266281188304065
6,04/2002,0.15616174962467458
7,05/2002,0.14678488168213025
8,06/2002,0.11696287881459225
9,07/2002,0.24753740790032772
10,08/2002,0.20593503706567579
11,09/2002,0.28371176071911985
12,10/2002,0.22892304133692506
13,11/2002,0.1623558943117333
14,12/2002,0.15211402762877266
15,01/2003,0.14489937677600476
16,02/2003,0.15206855496846763
17,03/2003,0.1790726969844254
18,04/2003,0.21356864096948494
19,05/2003,0.2423975752109627
20,06/2003,0.2193333234636287
21,07/2003,0.20266189152411
22,08/2003,0.23081661344054585
23,09/2003,0.2729099419060212
24,10/2003,0.28567020070881827
25,11/2003,0.1934262027080017
26,12/2003,0.19774870685185703
27,01/2004,0.20822554093533277
28,02/2004,0.1935752153891067
29,03/2004,0.29343321510324416
30,04/2004,0.22716031579585516
31,05/2004,0.3083203442935805
32,06/2004,0.4045150547838892
33,07/2004,0.3323442830528408
34,08/2004,0.3548748787932976
35,09/2004,0.31753791986882507
36,10/2004,0.27559011583175097
37,11/2004,0.25150154570042615
38,12/2004,0.24587389263035433
39,01/2005,0.21183316586239043
40,02/2005,0.22254566277175222
41,03/2005,0.27280929173474144
42,04/2005,0.3390232434236139
43,05/2005,0.35965616580936316
44,06/2005,0.367234827998414
45,07/2005,0.4601288745357463
46,08/2005,0.4593578660095477
47,09/2005,0.3898550557307827
48,10/2005,0.34181878307080066
49,11/2005,0.3783973084298553
50,12/2005,0.3523739323633926
51,01/2006,0.32798291775446514
52,02/2006,0.24996012382112734
53,03/2006,0.37795157581947486
54,04/2006,0.3383426721375935
55,05/2006,0.3496214737975343
56,06/2006,0.39586304486788665
57,07/2006,0.5569353119519043
58,08/2006,0.5090061751152983
59,09/2006,0.478982071920777
60,10/2006,0.4444604592864066
61,11/2006,0.40835318265524423
62,12/2006,0.38196294643702317
63,01/2007,0.3821652726307019
64,02/2007,0.3475134678251068
65,03/2007,0.44643446218528837
66,04/2007,0.49987933502476145
67,05/2007,0.523299158972559
68,06/2007,0.4779849894951948
69,07/2007,0.5835040142032826
70,08/2007,0.6132045561786729
71,09/2007,0.5316495130302682
72,10/2007,0.6719513754943788
73,11/2007,0.5114353466603656
74,12/2007,0.5835078865968544
75,01/2008,0.477639005503437
76,02/2008,0.4536125954897663
77,03/2008,0.43836728371162864
78,04/2008,0.551556440160235
79,05/2008,1.0
80,06/2008,0.9075155634325768
81,07/2008,0.9950803434334208
82,08/2008,0.9789777316433886
83,09/2008,0.8884711457240656
84,10/2008,0.8589761904142378
85,11/2008,0.6190521449096356
86,12/2008,0.5672537939817591
87,01/2009,0.42571836737977675
88,02/2009,0.41742049945431003
89,03/2009,0.5504496800735239
90,04/2009,0.6692338397718053
