,Data,2974 - Exportações - Produtos semimanufaturados - US$
0,10/2001,0.263852886760844
1,11/2001,0.23516455638682468
2,12/2001,0.22849097118825692
3,01/2002,0.21986542584289864
4,02/2002,0.18800869749892024
5,03/2002,0.19282713825099146
6,04/2002,0.1983043429145912
7,05/2002,0.1835464864678764
8,06/2002,0.1724846655187637
9,07/2002,0.3181758882426588
10,08/2002,0.2959011570500689
11,09/2002,0.3365549797755402
12,10/2002,0.362947161530753
13,11/2002,0.28828474818845695
14,12/2002,0.265031672254953
15,01/2003,0.319655933153902
16,02/2003,0.27110173248532843
17,03/2003,0.24370138633690078
18,04/2003,0.23520162660758043
19,05/2003,0.3081648573846807
20,06/2003,0.2964143342254602
21,07/2003,0.33058622020961026
22,08/2003,0.34190281988507704
23,09/2003,0.34846236207854236
24,10/2003,0.3566425561463253
25,11/2003,0.27523700459534195
26,12/2003,0.3620697183713478
27,01/2004,0.33225398375718895
28,02/2004,0.29706507232296425
29,03/2004,0.36066688589645124
30,04/2004,0.2665748342898354
31,05/2004,0.3403289945284762
32,06/2004,0.4088680046780731
33,07/2004,0.4543716022332833
34,08/2004,0.4095788411603812
35,09/2004,0.43313575976408236
36,10/2004,0.3777366783324013
37,11/2004,0.4272161554861475
38,12/2004,0.41991698149341494
39,01/2005,0.39318063991656593
40,02/2005,0.4129646277628753
41,03/2005,0.47573712744429403
42,04/2005,0.4175767894884863
43,05/2005,0.4460670614726522
44,06/2005,0.48897218047890917
45,07/2005,0.4761574389640998
46,08/2005,0.4161849331426013
47,09/2005,0.41991282954779513
48,10/2005,0.42889624779772495
49,11/2005,0.4982667108430355
50,12/2005,0.5064665374992722
51,01/2006,0.4298955912446115
52,02/2006,0.41749884158003847
53,03/2006,0.5197145647740885
54,04/2006,0.42429119507398666
55,05/2006,0.42912382349410705
56,06/2006,0.592756681843839
57,07/2006,0.6362345768824941
58,08/2006,0.6691724377550723
59,09/2006,0.5871479223889108
60,10/2006,0.6283534486239467
61,11/2006,0.6082267759449631
62,12/2006,0.6379554241907256
63,01/2007,0.5860269793149985
64,02/2007,0.5081279329100921
65,03/2007,0.5503091774888776
66,04/2007,0.5376787536417965
67,05/2007,0.6303550008927576
68,06/2007,0.6207504333092702
69,07/2007,0.6417578857371777
70,08/2007,0.6909223465726265
71,09/2007,0.6071449399652746
72,10/2007,0.7174715253305071
73,11/2007,0.6532313914082236
74,12/2007,0.6041599526257275
75,01/2008,0.6794166098984953
76,02/2008,0.6489982293772073
77,03/2008,0.5545102349155427
78,04/2008,0.6129776793253955
79,05/2008,0.8774183090770157
80,06/2008,0.7383096290714444
81,07/2008,1.0
82,08/2008,0.9397806313835391
83,09/2008,0.9256669274917467
84,10/2008,0.9361145530600605
85,11/2008,0.6903619168315185
86,12/2008,0.5218140437038009
87,01/2009,0.5594807997462822
88,02/2009,0.4395227565623246
89,03/2009,0.45268881375244036
90,04/2009,0.48323757945543666
