,Data,3001 - Exportações - Produtos manufaturados - US$
0,10/2001,0.2993701000379097
1,11/2001,0.2857852263323344
2,12/2001,0.27840496309455154
3,01/2002,0.22217551273265598
4,02/2002,0.23712591607779554
5,03/2002,0.27251033747495806
6,04/2002,0.2865425167707151
7,05/2002,0.27829893483171403
8,06/2002,0.26872548329123885
9,07/2002,0.33509243321466575
10,08/2002,0.33049526947000774
11,09/2002,0.32477905749234226
12,10/2002,0.3638856176564988
13,11/2002,0.30521566908818343
14,12/2002,0.33460753137655785
15,01/2003,0.27495761736719626
16,02/2003,0.30499931281611603
17,03/2003,0.31109752678814634
18,04/2003,0.33336696821591677
19,05/2003,0.3595606144251311
20,06/2003,0.32810290730441555
21,07/2003,0.36386131223833135
22,08/2003,0.36173272938508083
23,09/2003,0.4142028149024824
24,10/2003,0.4333203724780206
25,11/2003,0.3733138740183248
26,12/2003,0.4216079869825121
27,01/2004,0.32060564265639074
28,02/2004,0.3389179244472819
29,03/2004,0.46123223334007957
30,04/2004,0.4115599674834763
31,05/2004,0.4587052044866476
32,06/2004,0.4966053087284371
33,07/2004,0.5129971729352609
34,08/2004,0.5071672292964187
35,09/2004,0.5210098656186943
36,10/2004,0.5706911091037924
37,11/2004,0.5041306454051914
38,12/2004,0.6160386585868894
39,01/2005,0.4685525049653344
40,02/2005,0.4898756598948615
41,03/2005,0.5817537238693595
42,04/2005,0.5360908686207397
43,05/2005,0.5723861748115892
44,06/2005,0.5932569342268457
45,07/2005,0.6046291325625226
46,08/2005,0.6437456783941506
47,09/2005,0.6350790944532727
48,10/2005,0.5988730173108351
49,11/2005,0.6368755619932335
50,12/2005,0.6733906330594899
51,01/2006,0.5417333183015796
52,02/2006,0.5610376316470473
53,03/2006,0.6934666704760674
54,04/2006,0.5879915094219249
55,05/2006,0.631209478776692
56,06/2006,0.6662090426251903
57,07/2006,0.7332262588483875
58,08/2006,0.7675295972468662
59,09/2006,0.7092554449301482
60,10/2006,0.7414533887086491
61,11/2006,0.6918318803324077
62,12/2006,0.7499498471008363
63,01/2007,0.6244018013756187
64,02/2007,0.5924182879926908
65,03/2007,0.784796482018156
66,04/2007,0.6907858684789959
67,05/2007,0.7690971231508261
68,06/2007,0.7550722868781287
69,07/2007,0.7618619372270178
70,08/2007,0.8170138278290747
71,09/2007,0.8233475299317694
72,10/2007,0.829151338720469
73,11/2007,0.8103170050070844
74,12/2007,0.7772634033006715
75,01/2008,0.7388570096798709
76,02/2008,0.7199504591500266
77,03/2008,0.752173964601142
78,04/2008,0.784392815958368
79,05/2008,0.8459097093228268
80,06/2008,0.8952581096399036
81,07/2008,0.9313317088253666
82,08/2008,0.8919200762404345
83,09/2008,1.0
84,10/2008,0.858528254368772
85,11/2008,0.7761494484361999
86,12/2008,0.7817896495389058
87,01/2009,0.46563345066878675
88,02/2009,0.49824570309519584
89,03/2009,0.6027555838932994
90,04/2009,0.542640216363006
