,Data,3034 - Importações - Total (MDIC) - US$
0,10/2001,0.27277440047481727
1,11/2001,0.24150958659366822
2,12/2001,0.20094921388224773
3,01/2002,0.21798693536422212
4,02/2002,0.19473736514660944
5,03/2002,0.20996597421117216
6,04/2002,0.23730192911928444
7,05/2002,0.23290890578694745
8,06/2002,0.19485629358268167
9,07/2002,0.2879951064145332
10,08/2002,0.23927284767640414
11,09/2002,0.22939943465159218
12,10/2002,0.24551001572378112
13,11/2002,0.22058510885080698
14,12/2002,0.19731639563848524
15,01/2003,0.20923524195537974
16,02/2003,0.223025864835588
17,03/2003,0.2122419560927711
18,04/2003,0.22867668989217735
19,05/2003,0.22097544393651408
20,06/2003,0.20184669236843594
21,07/2003,0.23211479939194354
22,08/2003,0.21402909230571487
23,09/2003,0.26507772600025326
24,10/2003,0.2884577527167736
25,11/2003,0.24470371397425625
26,12/2003,0.22952129757765072
27,01/2004,0.24171155123199148
28,02/2004,0.21559449016257987
29,03/2004,0.30638023384862834
30,04/2004,0.265646030678745
31,05/2004,0.27716009185235085
32,06/2004,0.31697935220235673
33,07/2004,0.3169782272868251
34,08/2004,0.3223250027382918
35,09/2004,0.32976107052038034
36,10/2004,0.3347627882490872
37,11/2004,0.3483825884127322
38,12/2004,0.3259062605193588
39,01/2005,0.30164396769852453
40,02/2005,0.28540658211933134
41,03/2005,0.3387322391565514
42,04/2005,0.3056098250780536
43,05/2005,0.36524683423228677
44,06/2005,0.35399373552159885
45,07/2005,0.34716763097594555
46,08/2005,0.44110427481612385
47,09/2005,0.3619562728859783
48,10/2005,0.356975244466625
49,11/2005,0.38473008694426636
50,12/2005,0.3760313762774429
51,01/2006,0.3697893823160692
52,02/2006,0.34227321543539924
53,03/2006,0.4417234297920488
54,04/2006,0.38640024025297776
55,05/2006,0.4177065199902454
56,06/2006,0.4221505773229749
57,07/2006,0.4580638840802848
58,08/2006,0.5225748534362192
59,09/2006,0.46478447681083096
60,10/2006,0.5008485349165688
61,11/2006,0.49626695559972495
62,12/2006,0.41343034452183747
63,01/2007,0.4849390653673066
64,02/2007,0.4143427482859614
65,03/2007,0.5494073596373777
66,04/2007,0.47375675758070523
67,05/2007,0.561358389623703
68,06/2007,0.5328026399586018
69,07/2007,0.6176087206615942
70,08/2007,0.6625490581475338
71,09/2007,0.6127811589554091
72,10/2007,0.7072500679339848
73,11/2007,0.6895731648730081
74,12/2007,0.6071353359498504
75,01/2008,0.7081210584595617
76,02/2008,0.6850733055739993
77,03/2008,0.6663837126381597
78,04/2008,0.706505634761852
79,05/2008,0.8727691359091054
80,06/2008,0.9093819461642595
81,07/2008,0.9814672077710985
82,08/2008,1.0
83,09/2008,0.989266658749499
84,10/2008,0.9849617326502705
85,11/2008,0.7519243588844673
86,12/2008,0.6592197322670312
87,01/2009,0.5910387571700269
88,02/2009,0.44854875883035766
89,03/2009,0.576216711241201
90,04/2009,0.4946251742243451
