,Data,4193 - Exportações (Kg) - Total - kg
0,10/2001,0.44697484256725173
1,11/2001,0.3805184201609393
2,12/2001,0.35852549558412705
3,01/2002,0.3600679777820435
4,02/2002,0.31418475932966805
5,03/2002,0.37889583986417363
6,04/2002,0.42604598097095936
7,05/2002,0.3394080160310773
8,06/2002,0.2163926283453381
9,07/2002,0.6788582275485296
10,08/2002,0.5842469844686928
11,09/2002,0.6353788078630033
12,10/2002,0.52674656510334
13,11/2002,0.4230154670963913
14,12/2002,0.40605202366084375
15,01/2003,0.46091455840106116
16,02/2003,0.4246661027877432
17,03/2003,0.4369512359268085
18,04/2003,0.4805771690617626
19,05/2003,0.5280977330998707
20,06/2003,0.43156915034060367
21,07/2003,0.44433611192817907
22,08/2003,0.44634288078463064
23,09/2003,0.6079649180614765
24,10/2003,0.6523031174371652
25,11/2003,0.4346278822744655
26,12/2003,0.39758090614857733
27,01/2004,0.5849859339303153
28,02/2004,0.44291886233805905
29,03/2004,0.6604815009937718
30,04/2004,0.35468951657164954
31,05/2004,0.4599436755301303
32,06/2004,0.6131762372142202
33,07/2004,0.6676103049376803
34,08/2004,0.6854417253202723
35,09/2004,0.6050874134530889
36,10/2004,0.5369830116158832
37,11/2004,0.5767067055911332
38,12/2004,0.540638063009613
39,01/2005,0.4834396165473497
40,02/2005,0.5251930761893091
41,03/2005,0.5666435957969383
42,04/2005,0.5906597948758713
43,05/2005,0.5629390912366352
44,06/2005,0.591972987328309
45,07/2005,0.658837712429135
46,08/2005,0.6761671257445148
47,09/2005,0.5933922035850225
48,10/2005,0.5758951922820164
49,11/2005,0.6456162160315478
50,12/2005,0.6325511719489092
51,01/2006,0.5576752937044592
52,02/2006,0.49996771747911656
53,03/2006,0.6936556163584445
54,04/2006,0.525017122449717
55,05/2006,0.47241322950851206
56,06/2006,0.6338084842521569
57,07/2006,0.906960972816656
58,08/2006,0.7201134721022463
59,09/2006,0.6601843182451412
60,10/2006,0.6962756371922765
61,11/2006,0.6337644900244199
62,12/2006,0.5937374920903554
63,01/2007,0.6442190416389431
64,02/2007,0.5580447033049729
65,03/2007,0.6444865546562537
66,04/2007,0.6559955013743356
67,05/2007,0.7072441996025748
68,06/2007,0.6363984209363112
69,07/2007,0.8135299091232665
70,08/2007,0.7845247623859212
71,09/2007,0.6999050488276363
72,10/2007,0.787622890205366
73,11/2007,0.662470818634305
74,12/2007,0.6659219261494046
75,01/2008,0.66929501043085
76,02/2008,0.6279505970423731
77,03/2008,0.461106864730123
78,04/2008,0.5700521814047784
79,05/2008,1.0
80,06/2008,0.7774049854296883
81,07/2008,0.8385463839470064
82,08/2008,0.7728264629440948
83,09/2008,0.7974407726018655
84,10/2008,0.7597190534995192
85,11/2008,0.5804164681704618
86,12/2008,0.5359889422516493
87,01/2009,0.5338283672848763
88,02/2009,0.5326652968045331
89,03/2009,0.6478752404531657
90,04/2009,0.720752463913204
