,Data,4194 - Exportações (Kg) - Produtos básicos - kg
0,10/2001,0.4032197834435689
1,11/2001,0.3236453635158075
2,12/2001,0.3167402008035263
3,01/2002,0.32215013122741887
4,02/2002,0.28418034479967835
5,03/2002,0.3411116128703469
6,04/2002,0.4063696093364625
7,05/2002,0.30920944297064373
8,06/2002,0.1599941084790966
9,07/2002,0.645965381679285
10,08/2002,0.5492659453770384
11,09/2002,0.5835668164925584
12,10/2002,0.4503700090134244
13,11/2002,0.3712620905249435
14,12/2002,0.3605540577503487
15,01/2003,0.415781446357503
16,02/2003,0.384761621763845
17,03/2003,0.40894377273765653
18,04/2003,0.4645701096364796
19,05/2003,0.48766152733111995
20,06/2003,0.3938829937277221
21,07/2003,0.38204437990234585
22,08/2003,0.38098033948870347
23,09/2003,0.549971759129746
24,10/2003,0.5988912963986711
25,11/2003,0.3774870693705675
26,12/2003,0.3123339463060491
27,01/2004,0.5642342023908125
28,02/2004,0.4088806254916638
29,03/2004,0.6176547298900713
30,04/2004,0.29889184455808876
31,05/2004,0.40131009186406535
32,06/2004,0.5567091908056101
33,07/2004,0.6120246531090818
34,08/2004,0.6386130053124005
35,09/2004,0.535389429659676
36,10/2004,0.4800034603236956
37,11/2004,0.5135677981609318
38,12/2004,0.4688546582967584
39,01/2005,0.4245302754561513
40,02/2005,0.47156129975048877
41,03/2005,0.5001880946733637
42,04/2005,0.5541924941402058
43,05/2005,0.5078131478384659
44,06/2005,0.525787348315695
45,07/2005,0.5960941241107723
46,08/2005,0.6175153655226965
47,09/2005,0.5311223101404889
48,10/2005,0.520362801769585
49,11/2005,0.574780353742305
50,12/2005,0.5788130287582094
51,01/2006,0.497152149430257
52,02/2006,0.45039478729356236
53,03/2006,0.6463734816840109
54,04/2006,0.48018447874201087
55,05/2006,0.42392087477477375
56,06/2006,0.5818639360172304
57,07/2006,0.8573088301360235
58,08/2006,0.6597669649563555
59,09/2006,0.6072710371184173
60,10/2006,0.6362528684222103
61,11/2006,0.573941527370203
62,12/2006,0.5098576822947953
63,01/2007,0.592925030556919
64,02/2007,0.5179077908784983
65,03/2007,0.5933524376182421
66,04/2007,0.6156863250542189
67,05/2007,0.6616306939863512
68,06/2007,0.5788480523743005
69,07/2007,0.7761731929528771
70,08/2007,0.730679857582831
71,09/2007,0.6578271609486965
72,10/2007,0.7425731155424001
73,11/2007,0.6100685861989698
74,12/2007,0.6378403964267357
75,01/2008,0.6247418734454435
76,02/2008,0.5891167704260778
77,03/2008,0.41543839436374513
78,04/2008,0.5252768610083401
79,05/2008,1.0
80,06/2008,0.7523650866911742
81,07/2008,0.7901789830908323
82,08/2008,0.7356335622699794
83,09/2008,0.7765752640196053
84,10/2008,0.7158354662667555
85,11/2008,0.5315013227276613
86,12/2008,0.47648239040779783
87,01/2009,0.4963278215471285
88,02/2009,0.5006946856456989
89,03/2009,0.6299294123868027
90,04/2009,0.7098163523059801
