,Data,4221 - Exportações (Kg) - Produtos semimanufaturados - kg
0,10/2001,0.6295784248195351
1,11/2001,0.6503527030354311
2,12/2001,0.5675445304461345
3,01/2002,0.5367273155981844
4,02/2002,0.434233111429283
5,03/2002,0.43083508198255066
6,04/2002,0.43663506449022194
7,05/2002,0.3016190605300823
8,06/2002,0.35013896912493586
9,07/2002,0.8003377897038627
10,08/2002,0.6764945748960445
11,09/2002,0.8268704916107878
12,10/2002,0.9054036590946662
13,11/2002,0.6437005812005753
14,12/2002,0.5625928197826323
15,01/2003,0.6650496815250089
16,02/2003,0.5708283087403083
17,03/2003,0.46448174422000327
18,04/2003,0.3682075809510835
19,05/2003,0.6064444883425778
20,06/2003,0.5653071147152577
21,07/2003,0.6027261996429385
22,08/2003,0.7422119606910759
23,09/2003,0.7764856157812511
24,10/2003,0.7642023513319326
25,11/2003,0.5423295553571661
26,12/2003,0.7919434613735123
27,01/2004,0.6149181787544687
28,02/2004,0.5529099105539482
29,03/2004,0.6859163749288716
30,04/2004,0.36831661184456804
31,05/2004,0.5487415534704254
32,06/2004,0.7472893095236102
33,07/2004,0.8398012974336316
34,08/2004,0.8070453147081609
35,09/2004,0.784864580256665
36,10/2004,0.7123903346956402
37,11/2004,0.8019029834499966
38,12/2004,0.7292926247794133
39,01/2005,0.6366247522012881
40,02/2005,0.7744724122031343
41,03/2005,0.8024842102284273
42,04/2005,0.6262590905500306
43,05/2005,0.732371834156492
44,06/2005,0.8206141173048863
45,07/2005,0.8140676155038877
46,08/2005,0.6753448278801658
47,09/2005,0.7200909701412006
48,10/2005,0.6958758515771828
49,11/2005,0.9010836096140754
50,12/2005,0.7719376852375172
51,01/2006,0.6573630332734108
52,02/2006,0.636014103187543
53,03/2006,0.7490918816310308
54,04/2006,0.5518878061666931
55,05/2006,0.4951145724362869
56,06/2006,0.8178798847901351
57,07/2006,0.918967541398759
58,08/2006,0.8358971194601298
59,09/2006,0.7571296706923659
60,10/2006,0.8516804412860502
61,11/2006,0.7937943151988452
62,12/2006,0.9068209743027702
63,01/2007,0.7812966499113023
64,02/2007,0.6000070666098901
65,03/2007,0.6234389444618637
66,04/2007,0.5756104283065866
67,05/2007,0.7274290653497609
68,06/2007,0.768611525033773
69,07/2007,0.7874205711197265
70,08/2007,0.8337047848684624
71,09/2007,0.7263531882898083
72,10/2007,0.879738649810027
73,11/2007,0.7978554730340851
74,12/2007,0.6757028873538152
75,01/2008,0.7051235572695146
76,02/2008,0.703882553952412
77,03/2008,0.5283337323835373
78,04/2008,0.5921841666225562
79,05/2008,0.8664770079316094
80,06/2008,0.7355446958196707
81,07/2008,1.0
82,08/2008,0.8764672036256576
83,09/2008,0.8280269861153499
84,10/2008,0.8899873840273392
85,11/2008,0.8097336870139527
86,12/2008,0.6666736106204898
87,01/2009,0.7264549422456451
88,02/2009,0.601091813403535
89,03/2009,0.5759661784367207
90,04/2009,0.6262053525338775
