,Data,4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões)
0,10/2001,0.41400971900996136
1,11/2001,0.4202231265667198
2,12/2001,0.40287941355128853
3,01/2002,0.40059118273620925
4,02/2002,0.3973910817817044
5,03/2002,0.42222902698679315
6,04/2002,0.4291489734866092
7,05/2002,0.4404371985980442
8,06/2002,0.43998055057278845
9,07/2002,0.45221558064525325
10,08/2002,0.45557894841909236
11,09/2002,0.4460884407091911
12,10/2002,0.4745624591832951
13,11/2002,0.48469070562635996
14,12/2002,0.46428092729849735
15,01/2003,0.45335951781390715
16,02/2003,0.4683176815826472
17,03/2003,0.494400803643488
18,04/2003,0.5040171480067188
19,05/2003,0.4976636446857719
20,06/2003,0.49191579709855604
21,07/2003,0.520352741884427
22,08/2003,0.5162489697792404
23,09/2003,0.5295826643433821
24,10/2003,0.5522763957530663
25,11/2003,0.5477081331116517
26,12/2003,0.5482678032128628
27,01/2004,0.5153192757512413
28,02/2004,0.5092687785360456
29,03/2004,0.5609658979104698
30,04/2004,0.5595057649585202
31,05/2004,0.5685781242424847
32,06/2004,0.5894081898629129
33,07/2004,0.6108991652716502
34,08/2004,0.6030851725209823
35,09/2004,0.587127801558806
36,10/2004,0.6079247147464872
37,11/2004,0.6306858204549797
38,12/2004,0.636178786435593
39,01/2005,0.5829841039432145
40,02/2005,0.5728654823999795
41,03/2005,0.6255069113910333
42,04/2005,0.6316033942387488
43,05/2005,0.6327362805964871
44,06/2005,0.6448034096385885
45,07/2005,0.6561818236262059
46,08/2005,0.6674925068372436
47,09/2005,0.6471458250749316
48,10/2005,0.674395342404029
49,11/2005,0.6943990925501848
50,12/2005,0.70753743729556
51,01/2006,0.6614972636766261
52,02/2006,0.6362493690343445
53,03/2006,0.6781041371384245
54,04/2006,0.6595929594214223
55,05/2006,0.705377894955982
56,06/2006,0.7096470727471317
57,07/2006,0.737817728637713
58,08/2006,0.7479545305472931
59,09/2006,0.716717452866509
60,10/2006,0.7638309810553453
61,11/2006,0.7832675750670891
62,12/2006,0.7890959866306576
63,01/2007,0.7526336577756357
64,02/2007,0.7225943454069977
65,03/2007,0.7756546357795313
66,04/2007,0.766885282601318
67,05/2007,0.8075565445041109
68,06/2007,0.8162931017273486
69,07/2007,0.8335302278891097
70,08/2007,0.837790850213744
71,09/2007,0.7949557682381156
72,10/2007,0.8624601814329265
73,11/2007,0.8624580425662977
74,12/2007,0.8643199259666964
75,01/2008,0.8457367397398567
76,02/2008,0.8294571128722696
77,03/2008,0.8631246559989504
78,04/2008,0.8868995844895096
79,05/2008,0.9087973010354966
80,06/2008,0.947489041873305
81,07/2008,0.991353275175173
82,08/2008,0.9597654233672605
83,09/2008,0.9456289408617634
84,10/2008,1.0
85,11/2008,0.964973920086239
86,12/2008,0.9425304360721283
87,01/2009,0.8909520237956041
88,02/2009,0.8698777709017176
89,03/2009,0.9345952408791598
90,04/2009,0.9252658611219637
