Data;11071 - Indicadores da produção (2002=100) - Por categoria de uso - Bens de consumo (não-duráveis e semiduráveis) - Índice
10/2001;111,05
11/2001;111,66
12/2001;93,43
01/2002;92,30
02/2002;87,36
03/2002;94,22
04/2002;96,78
05/2002;96,68
06/2002;92,17
07/2002;102,47
08/2002;107,67
09/2002;104,60
10/2002;117,69
11/2002;110,46
12/2002;97,54
01/2003;90,11
02/2003;86,83
03/2003;89,80
04/2003;88,69
05/2003;93,46
06/2003;89,61
07/2003;96,30
08/2003;98,60
09/2003;103,95
10/2003;111,11
11/2003;105,87
12/2003;99,30
01/2004;90,03
02/2004;84,16
03/2004;98,61
04/2004;91,18
05/2004;95,31
06/2004;95,59
07/2004;100,90
08/2004;105,55
09/2004;109,40
10/2004;110,93
11/2004;112,13
12/2004;106,37
01/2005;98,62
02/2005;88,59
03/2005;100,29
04/2005;99,11
05/2005;102,34
06/2005;102,70
07/2005;103,95
08/2005;113,51
09/2005;109,34
10/2005;112,45
11/2005;114,86
12/2005;109,12
01/2006;98,68
02/2006;94,13
03/2006;106,51
04/2006;96,80
05/2006;107,47
06/2006;104,32
07/2006;107,56
08/2006;114,98
09/2006;111,95
10/2006;118,89
11/2006;118,00
12/2006;108,93
01/2007;101,08
02/2007;94,92
03/2007;107,04
04/2007;100,81
05/2007;111,75
06/2007;109,98
07/2007;111,72
08/2007;119,92
09/2007;114,28
10/2007;126,39
11/2007;123,15
12/2007;110,43
01/2008;107,08
02/2008;96,00
03/2008;103,84
04/2008;106,52
05/2008;111,63
06/2008;110,63
07/2008;117,49
08/2008;118,44
09/2008;122,32
10/2008;127,75
11/2008;119,49
12/2008;108,31
01/2009;97,92
02/2009;93,23
03/2009;107,17
04/2009;102,45
Fonte;IBGE
