Data;11070 - Indicadores da produção (2002=100) - Por categoria de uso - Bens de consumo (duráveis) - Índice
10/2001;98,92
11/2001;102,96
12/2001;78,91
01/2002;85,07
02/2002;83,25
03/2002;100,89
04/2002;111,57
05/2002;101,61
06/2002;88,74
07/2002;99,32
08/2002;96,90
09/2002;103,95
10/2002;120,81
11/2002;117,32
12/2002;90,51
01/2003;92,39
02/2003;94,64
03/2003;88,68
04/2003;98,86
05/2003;99,27
06/2003;89,99
07/2003;97,38
08/2003;98,00
09/2003;116,91
10/2003;129,02
11/2003;127,32
12/2003;103,08
01/2004;106,12
02/2004;97,90
03/2004;127,77
04/2004;121,52
05/2004;122,56
06/2004;122,22
07/2004;123,10
08/2004;133,43
09/2004;137,53
10/2004;140,63
11/2004;152,02
12/2004;120,62
01/2005;109,65
02/2005;117,37
03/2005;144,40
04/2005;143,26
05/2005;148,97
06/2005;151,05
07/2005;139,30
08/2005;151,11
09/2005;138,19
10/2005;144,26
11/2005;151,79
12/2005;138,00
01/2006;130,44
02/2006;135,62
03/2006;160,52
04/2006;143,93
05/2006;160,37
06/2006;144,77
07/2006;140,82
08/2006;159,30
09/2006;145,48
10/2006;161,92
11/2006;165,66
12/2006;125,25
01/2007;136,22
02/2007;132,08
03/2007;168,26
04/2007;151,63
05/2007;169,96
06/2007;156,24
07/2007;162,53
08/2007;180,02
09/2007;164,49
10/2007;191,43
11/2007;184,00
12/2007;138,27
01/2008;157,55
02/2008;159,33
03/2008;179,35
04/2008;185,59
05/2008;179,42
06/2008;180,00
07/2008;178,51
08/2008;185,09
09/2008;189,25
10/2008;190,52
11/2008;143,15
12/2008;80,60
01/2009;108,63
02/2009;120,53
03/2009;154,99
04/2009;145,01
Fonte;IBGE
