Data;11068 - Indicadores da produção (2002=100) - Por categoria de uso - Bens intermediários - Índice
10/2001;97,69
11/2001;93,82
12/2001;85,20
01/2002;91,39
02/2002;88,75
03/2002;98,46
04/2002;99,88
05/2002;102,96
06/2002;101,14
07/2002;106,05
08/2002;105,21
09/2002;102,87
10/2002;108,46
11/2002;102,06
12/2002;92,71
01/2003;95,58
02/2003;91,85
03/2003;103,20
04/2003;100,20
05/2003;104,15
06/2003;100,00
07/2003;105,79
08/2003;105,35
09/2003;107,96
10/2003;111,15
11/2003;102,74
12/2003;96,31
01/2004;98,26
02/2004;96,19
03/2004;110,68
04/2004;105,73
05/2004;111,85
06/2004;111,31
07/2004;116,73
08/2004;117,32
09/2004;115,08
10/2004;116,64
11/2004;111,27
12/2004;103,57
01/2005;102,22
02/2005;97,16
03/2005;110,50
04/2005;109,81
05/2005;115,00
06/2005;114,73
07/2005;114,76
08/2005;118,03
09/2005;114,03
10/2005;116,02
11/2005;110,97
12/2005;103,86
01/2006;105,06
02/2006;99,45
03/2006;113,96
04/2006;108,06
05/2006;119,53
06/2006;114,30
07/2006;118,78
08/2006;122,08
09/2006;115,02
10/2006;118,14
11/2006;114,57
12/2006;105,49
01/2007;108,37
02/2007;102,90
03/2007;119,42
04/2007;113,67
05/2007;123,16
06/2007;120,31
07/2007;124,62
08/2007;127,39
09/2007;118,99
10/2007;128,62
11/2007;120,04
12/2007;112,65
01/2008;117,08
02/2008;113,59
03/2008;120,09
04/2008;120,25
05/2008;126,03
06/2008;126,61
07/2008;134,07
08/2008;129,61
09/2008;126,64
10/2008;125,40
11/2008;110,73
12/2008;91,87
01/2009;93,14
02/2009;89,84
03/2009;104,17
04/2009;101,61
Fonte;IBGE
