Data;11067 - Indicadores da produção (2002=100) - Por categoria de uso - Bens de capital - Índice
10/2001;110,60
11/2001;102,58
12/2001;88,41
01/2002;90,71
02/2002;88,46
03/2002;100,27
04/2002;106,17
05/2002;103,38
06/2002;95,84
07/2002;105,89
08/2002;100,78
09/2002;100,58
10/2002;110,78
11/2002;104,15
12/2002;92,91
01/2003;87,75
02/2003;92,37
03/2003;91,57
04/2003;94,45
05/2003;97,54
06/2003;92,93
07/2003;101,79
08/2003;101,17
09/2003;110,69
10/2003;124,24
11/2003;125,05
12/2003;106,37
01/2004;101,78
02/2004;102,25
03/2004;128,07
04/2004;117,68
05/2004;125,25
06/2004;124,66
07/2004;127,77
08/2004;132,37
09/2004;127,30
10/2004;130,20
11/2004;130,55
12/2004;119,57
01/2005;109,00
02/2005;103,46
03/2005;127,93
04/2005;120,77
05/2005;130,33
06/2005;135,07
07/2005;123,80
08/2005;137,19
09/2005;136,03
10/2005;132,00
11/2005;136,27
12/2005;128,02
01/2006;116,17
02/2006;114,70
03/2006;140,82
04/2006;120,47
05/2006;138,34
06/2006;132,36
07/2006;134,34
08/2006;146,50
09/2006;136,41
10/2006;144,54
11/2006;146,80
12/2006;135,77
01/2007;136,75
02/2007;131,25
03/2007;158,65
04/2007;142,27
05/2007;165,99
06/2007;154,91
07/2007;160,02
08/2007;176,25
09/2007;164,85
10/2007;184,73
11/2007;182,01
12/2007;162,73
01/2008;157,32
02/2008;163,53
03/2008;179,65
04/2008;184,47
05/2008;177,76
06/2008;189,68
07/2008;198,14
08/2008;195,58
09/2008;206,15
10/2008;214,78
11/2008;188,77
12/2008;139,22
01/2009;134,60
02/2009;123,63
03/2009;141,16
04/2009;130,45
Fonte;IBGE
