Data;10798 - Distribuição de desocupados segundo o tempo de procura de emprego - De 7 a 11 meses - %
10/2001;11,4
11/2001;10,7
12/2001;10,6
01/2002;9,7
02/2002;9,2
03/2002;8,1
04/2002;9,3
05/2002;8,8
06/2002;9,7
07/2002;9,2
08/2002;10,1
09/2002;10,9
10/2002;10,2
11/2002;10,4
12/2002;11,6
01/2003;8,5
02/2003;7,4
03/2003;8,1
04/2003;8,7
05/2003;8,3
06/2003;9,2
07/2003;12,5
08/2003;13,8
09/2003;13,4
10/2003;15,3
11/2003;12,8
12/2003;11,1
01/2004;9,5
02/2004;8,7
03/2004;7,9
04/2004;7,4
05/2004;8,2
06/2004;8,5
07/2004;10,5
08/2004;11,9
09/2004;11,0
10/2004;10,7
11/2004;11,1
12/2004;12,1
01/2005;7,9
02/2005;7,3
03/2005;6,4
04/2005;7,2
05/2005;7,6
06/2005;7,3
07/2005;9,6
08/2005;11,2
09/2005;10,9
10/2005;12,5
11/2005;10,8
12/2005;10,2
01/2006;8,6
02/2006;8,3
03/2006;6,8
04/2006;7,7
05/2006;8,9
06/2006;7,9
07/2006;9,1
08/2006;10,3
09/2006;10,8
10/2006;12,2
11/2006;11,0
12/2006;10,4
01/2007;6,6
02/2007;7,2
03/2007;7,4
04/2007;7,0
05/2007;6,8
06/2007;7,1
07/2007;8,6
08/2007;9,8
09/2007;10,4
10/2007;10,8
11/2007;9,7
12/2007;8,2
01/2008;7,8
02/2008;6,4
03/2008;6,6
04/2008;6,1
05/2008;7,6
06/2008;7,1
07/2008;7,6
08/2008;9,1
09/2008;10,9
10/2008;11,3
11/2008;10,6
12/2008;9,4
01/2009;7,2
02/2009;6,2
03/2009;6,9
04/2009;6,0
Fonte;IBGE
