Data;10797 - Distribuição de desocupados segundo o tempo de procura de emprego - De 31 dias a 6 meses - %
10/2001;36,8
11/2001;39,1
12/2001;39,4
01/2002;40,4
02/2002;40,9
03/2002;42,1
04/2002;42,1
05/2002;44,5
06/2002;42,6
07/2002;40,6
08/2002;40,9
09/2002;40,7
10/2002;38,0
11/2002;38,5
12/2002;37,4
01/2003;41,4
02/2003;49,6
03/2003;49,8
04/2003;52,2
05/2003;52,0
06/2003;51,7
07/2003;48,1
08/2003;46,5
09/2003;45,5
10/2003;44,1
11/2003;45,4
12/2003;45,4
01/2004;41,7
02/2004;46,4
03/2004;49,7
04/2004;47,5
05/2004;45,9
06/2004;46,0
07/2004;42,6
08/2004;40,8
09/2004;40,8
10/2004;40,5
11/2004;40,7
12/2004;41,0
01/2005;39,1
02/2005;44,3
03/2005;47,8
04/2005;46,8
05/2005;46,1
06/2005;45,6
07/2005;43,5
08/2005;41,9
09/2005;42,5
10/2005;43,6
11/2005;43,0
12/2005;42,7
01/2006;41,5
02/2006;45,5
03/2006;47,9
04/2006;48,2
05/2006;46,9
06/2006;48,2
07/2006;47,6
08/2006;47,4
09/2006;47,3
10/2006;45,1
11/2006;47,9
12/2006;44,6
01/2007;46,0
02/2007;48,2
03/2007;47,9
04/2007;50,0
05/2007;46,8
06/2007;48,5
07/2007;45,9
08/2007;45,5
09/2007;45,2
10/2007;45,7
11/2007;43,4
12/2007;47,6
01/2008;44,0
02/2008;47,7
03/2008;50,7
04/2008;51,0
05/2008;48,7
06/2008;50,1
07/2008;49,4
08/2008;51,0
09/2008;49,2
10/2008;47,7
11/2008;48,7
12/2008;49,7
01/2009;46,1
02/2009;51,7
03/2009;54,2
04/2009;55,5
Fonte;IBGE
