Data;10796 - Distribuição de desocupados segundo o tempo de procura de emprego - Até 30 dias - %
10/2001;26,0
11/2001;24,6
12/2001;20,8
01/2002;22,5
02/2002;21,7
03/2002;22,9
04/2002;20,8
05/2002;19,8
06/2002;21,8
07/2002;21,8
08/2002;20,6
09/2002;19,0
10/2002;20,6
11/2002;20,1
12/2002;20,1
01/2003;26,7
02/2003;21,9
03/2003;20,7
04/2003;17,5
05/2003;17,4
06/2003;16,8
07/2003;16,7
08/2003;16,3
09/2003;16,2
10/2003;15,8
11/2003;16,6
12/2003;16,7
01/2004;23,7
02/2004;19,7
03/2004;18,0
04/2004;17,9
05/2004;18,6
06/2004;18,8
07/2004;20,5
08/2004;21,9
09/2004;22,2
10/2004;21,7
11/2004;21,2
12/2004;20,5
01/2005;27,1
02/2005;23,2
03/2005;22,9
04/2005;21,6
05/2005;21,3
06/2005;22,0
07/2005;22,8
08/2005;21,9
09/2005;23,3
10/2005;20,1
11/2005;21,8
12/2005;20,9
01/2006;24,8
02/2006;21,3
03/2006;19,3
04/2006;19,3
05/2006;19,1
06/2006;21,9
07/2006;23,7
08/2006;21,7
09/2006;21,3
10/2006;22,7
11/2006;20,2
12/2006;22,7
01/2007;26,1
02/2007;24,6
03/2007;24,4
04/2007;22,9
05/2007;26,1
06/2007;24,2
07/2007;25,6
08/2007;23,7
09/2007;24,0
10/2007;23,3
11/2007;23,5
12/2007;21,8
01/2008;26,3
02/2008;24,7
03/2008;21,9
04/2008;21,9
05/2008;23,4
06/2008;23,3
07/2008;24,3
08/2008;22,6
09/2008;23,8
10/2008;24,1
11/2008;23,8
12/2008;23,9
01/2009;33,0
02/2009;28,3
03/2009;24,4
04/2009;23,0
Fonte;IBGE
