Data;1561 - Índice volume de vendas no varejo - Hipermercados e supermercados - Brasil - Índice
10/2001;57,50
11/2001;56,80
12/2001;74,00
01/2002;55,30
02/2002;52,90
03/2002;62,00
04/2002;54,80
05/2002;57,90
06/2002;55,10
07/2002;56,20
08/2002;58,30
09/2002;53,70
10/2002;57,60
11/2002;56,40
12/2002;68,30
01/2003;52,90
02/2003;50,80
03/2003;54,10
04/2003;54,60
05/2003;54,40
06/2003;50,40
07/2003;53,20
08/2003;55,10
09/2003;51,90
10/2003;55,30
11/2003;55,10
12/2003;69,50
01/2004;54,50
02/2004;53,30
03/2004;56,10
04/2004;58,50
05/2004;57,10
06/2004;55,10
07/2004;59,00
08/2004;57,40
09/2004;56,90
10/2004;61,50
11/2004;58,90
12/2004;78,20
01/2005;58,10
02/2005;52,80
03/2005;61,30
04/2005;57,30
05/2005;57,30
06/2005;56,40
07/2005;60,30
08/2005;59,40
09/2005;58,40
10/2005;61,70
11/2005;59,80
12/2005;78,80
01/2006;60,30
02/2006;56,80
03/2006;62,50
04/2006;65,70
05/2006;61,70
06/2006;61,50
07/2006;63,50
08/2006;64,20
09/2006;65,00
10/2006;65,80
11/2006;65,60
12/2006;84,50
01/2007;63,40
02/2007;61,60
03/2007;69,70
04/2007;68,60
05/2007;67,00
06/2007;66,70
07/2007;66,70
08/2007;68,20
09/2007;69,30
10/2007;69,40
11/2007;69,80
12/2007;89,80
01/2008;68,90
02/2008;66,70
03/2008;75,50
04/2008;68,60
05/2008;72,40
06/2008;67,50
07/2008;70,10
08/2008;73,40
09/2008;69,90
10/2008;74,30
11/2008;73,80
12/2008;92,60
01/2009;73,50
02/2009;70,40
03/2009;75,00
04/2009;78,30
Fonte;IBGE
