Data;1548 - Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Brasil - Índice
10/2001;54,10
11/2001;50,90
12/2001;48,00
01/2002;48,70
02/2002;41,50
03/2002;48,60
04/2002;52,10
05/2002;45,80
06/2002;40,60
07/2002;46,60
08/2002;47,20
09/2002;47,00
10/2002;48,70
11/2002;43,40
12/2002;43,30
01/2003;42,30
02/2003;43,30
03/2003;39,40
04/2003;41,00
05/2003;40,30
06/2003;38,80
07/2003;41,50
08/2003;39,50
09/2003;45,10
10/2003;46,90
11/2003;46,00
12/2003;49,70
01/2004;45,80
02/2004;43,00
03/2004;52,20
04/2004;46,30
05/2004;48,70
06/2004;50,10
07/2004;50,70
08/2004;52,20
09/2004;52,10
10/2004;51,50
11/2004;53,90
12/2004;58,90
01/2005;51,00
02/2005;42,60
03/2005;52,50
04/2005;48,60
05/2005;49,60
06/2005;50,30
07/2005;48,30
08/2005;55,00
09/2005;50,90
10/2005;51,20
11/2005;55,40
12/2005;59,30
01/2006;51,00
02/2006;42,90
03/2006;55,70
04/2006;46,10
05/2006;55,80
06/2006;48,30
07/2006;55,90
08/2006;60,60
09/2006;55,90
10/2006;60,40
11/2006;62,20
12/2006;64,10
01/2007;58,30
02/2007;51,40
03/2007;65,90
04/2007;61,80
05/2007;67,20
06/2007;64,00
07/2007;68,60
08/2007;76,40
09/2007;67,30
10/2007;78,50
11/2007;75,90
12/2007;72,90
01/2008;70,40
02/2008;67,10
03/2008;75,60
04/2008;80,00
05/2008;76,70
06/2008;81,10
07/2008;85,60
08/2008;78,20
09/2008;86,60
10/2008;72,80
11/2008;60,50
12/2008;69,50
01/2009;70,20
02/2009;67,00
03/2009;88,60
04/2009;70,80
Fonte;IBGE
