Data;1509 - Índice volume de vendas no varejo - Tecido, vestuário e calçado - Brasil - Índice
10/2001;63,90
11/2001;69,00
12/2001;128,80
01/2002;51,20
02/2002;49,30
03/2002;55,80
04/2002;56,80
05/2002;71,10
06/2002;64,50
07/2002;66,80
08/2002;66,80
09/2002;57,30
10/2002;64,30
11/2002;69,30
12/2002;127,40
01/2003;50,60
02/2003;52,10
03/2003;52,90
04/2003;56,80
05/2003;63,00
06/2003;61,50
07/2003;62,50
08/2003;62,30
09/2003;55,40
10/2003;63,10
11/2003;67,30
12/2003;128,30
01/2004;51,60
02/2004;49,10
03/2004;56,60
04/2004;56,70
05/2004;77,50
06/2004;70,20
07/2004;67,50
08/2004;61,70
09/2004;57,70
10/2004;62,20
11/2004;67,40
12/2004;134,60
01/2005;53,60
02/2005;49,10
03/2005;56,90
04/2005;65,10
05/2005;72,80
06/2005;71,10
07/2005;72,30
08/2005;68,20
09/2005;64,30
10/2005;68,00
11/2005;73,20
12/2005;145,50
01/2006;58,10
02/2006;52,10
03/2006;57,50
04/2006;63,00
05/2006;79,60
06/2006;69,20
07/2006;68,70
08/2006;69,10
09/2006;66,00
10/2006;66,90
11/2006;78,30
12/2006;148,30
01/2007;61,90
02/2007;53,90
03/2007;63,30
04/2007;65,60
05/2007;92,40
06/2007;80,50
07/2007;75,80
08/2007;78,00
09/2007;70,60
10/2007;77,10
11/2007;87,90
12/2007;162,70
01/2008;71,40
02/2008;60,60
03/2008;70,90
04/2008;78,60
05/2008;95,90
06/2008;88,90
07/2008;82,20
08/2008;81,40
09/2008;77,20
10/2008;77,30
11/2008;80,20
12/2008;152,10
01/2009;68,00
02/2009;56,50
03/2009;65,10
04/2009;71,00
Fonte;IBGE
