Data;1483 - Índice volume de vendas no varejo - Combustíveis e lubrificantes - Brasil - Índice
10/2001;78,10
11/2001;75,20
12/2001;77,50
01/2002;76,90
02/2002;72,70
03/2002;79,90
04/2002;78,40
05/2002;79,10
06/2002;75,30
07/2002;83,80
08/2002;87,50
09/2002;84,10
10/2002;85,30
11/2002;78,50
12/2002;81,30
01/2003;73,40
02/2003;68,10
03/2003;73,40
04/2003;73,30
05/2003;77,40
06/2003;74,40
07/2003;82,20
08/2003;80,00
09/2003;77,50
10/2003;81,60
11/2003;79,10
12/2003;81,00
01/2004;77,10
02/2004;72,10
03/2004;81,90
04/2004;79,90
05/2004;80,50
06/2004;80,20
07/2004;84,90
08/2004;81,30
09/2004;80,70
10/2004;82,60
11/2004;79,10
12/2004;83,50
01/2005;76,30
02/2005;67,70
03/2005;74,80
04/2005;72,10
05/2005;74,90
06/2005;75,10
07/2005;76,30
08/2005;76,30
09/2005;74,70
10/2005;75,20
11/2005;72,30
12/2005;77,40
01/2006;69,70
02/2006;63,10
03/2006;67,80
04/2006;64,20
05/2006;66,10
06/2006;65,60
07/2006;68,60
08/2006;71,50
09/2006;69,70
10/2006;70,90
11/2006;70,10
12/2006;73,90
01/2007;71,50
02/2007;66,40
03/2007;72,50
04/2007;68,60
05/2007;69,90
06/2007;69,50
07/2007;71,90
08/2007;74,40
09/2007;72,30
10/2007;75,10
11/2007;74,60
12/2007;76,30
01/2008;73,70
02/2008;71,30
03/2008;76,30
04/2008;74,40
05/2008;78,90
06/2008;78,10
07/2008;82,90
08/2008;83,10
09/2008;81,70
10/2008;83,30
11/2008;78,50
12/2008;81,10
01/2009;76,50
02/2009;71,80
03/2009;79,80
04/2009;77,00
Fonte;IBGE
