,Data,10796 - Distribuição de desocupados segundo o tempo de procura de emprego - Até 30 dias - %
0,10/2001,0.5930232558139534
1,11/2001,0.5116279069767442
2,12/2001,0.2906976744186045
3,01/2002,0.38953488372093004
4,02/2002,0.34302325581395343
5,03/2002,0.41279069767441845
6,04/2002,0.2906976744186045
7,05/2002,0.2325581395348837
8,06/2002,0.34883720930232553
9,07/2002,0.34883720930232553
10,08/2002,0.2790697674418605
11,09/2002,0.18604651162790686
12,10/2002,0.2790697674418605
13,11/2002,0.25
14,12/2002,0.25
15,01/2003,0.6337209302325579
16,02/2003,0.3546511627906974
17,03/2003,0.2848837209302324
18,04/2003,0.09883720930232553
19,05/2003,0.09302325581395321
20,06/2003,0.05813953488372092
21,07/2003,0.05232558139534871
22,08/2003,0.029069767441860406
23,09/2003,0.02325581395348819
24,10/2003,0.0
25,11/2003,0.046511627906976716
26,12/2003,0.05232558139534871
27,01/2004,0.4593023255813953
28,02/2004,0.2267441860465116
29,03/2004,0.12790697674418605
30,04/2004,0.12209302325581373
31,05/2004,0.16279069767441867
32,06/2004,0.17441860465116266
33,07/2004,0.2732558139534882
34,08/2004,0.3546511627906974
35,09/2004,0.3720930232558137
36,10/2004,0.34302325581395343
37,11/2004,0.3139534883720929
38,12/2004,0.2732558139534882
39,01/2005,0.6569767441860466
40,02/2005,0.43023255813953476
41,03/2005,0.41279069767441845
42,04/2005,0.33720930232558133
43,05/2005,0.319767441860465
44,06/2005,0.36046511627906974
45,07/2005,0.40697674418604635
46,08/2005,0.3546511627906974
47,09/2005,0.43604651162790686
48,10/2005,0.25
49,11/2005,0.34883720930232553
50,12/2005,0.2965116279069766
51,01/2006,0.5232558139534884
52,02/2006,0.319767441860465
53,03/2006,0.20348837209302317
54,04/2006,0.20348837209302317
55,05/2006,0.19186046511627897
56,06/2006,0.3546511627906974
57,07/2006,0.4593023255813953
58,08/2006,0.34302325581395343
59,09/2006,0.319767441860465
60,10/2006,0.40116279069767424
61,11/2006,0.2558139534883719
62,12/2006,0.40116279069767424
63,01/2007,0.5988372093023255
64,02/2007,0.5116279069767442
65,03/2007,0.4999999999999998
66,04/2007,0.41279069767441845
67,05/2007,0.5988372093023255
68,06/2007,0.48837209302325557
69,07/2007,0.569767441860465
70,08/2007,0.4593023255813953
71,09/2007,0.4767441860465116
72,10/2007,0.43604651162790686
73,11/2007,0.44767441860465107
74,12/2007,0.34883720930232553
75,01/2008,0.6104651162790697
76,02/2008,0.5174418604651161
77,03/2008,0.3546511627906974
78,04/2008,0.3546511627906974
79,05/2008,0.44186046511627897
80,06/2008,0.43604651162790686
81,07/2008,0.4941860465116279
82,08/2008,0.39534883720930236
83,09/2008,0.4651162790697674
84,10/2008,0.4825581395348837
85,11/2008,0.4651162790697674
86,12/2008,0.47093023255813926
87,01/2009,1.0
88,02/2009,0.7267441860465116
89,03/2009,0.4999999999999998
90,04/2009,0.41860465116279055
