,Data,10797 - Distribuição de desocupados segundo o tempo de procura de emprego - De 31 dias a 6 meses - %
0,10/2001,0.0
1,11/2001,0.12299465240641738
2,12/2001,0.1390374331550801
3,01/2002,0.19251336898395732
4,02/2002,0.2192513368983955
5,03/2002,0.28342245989304815
6,04/2002,0.28342245989304815
7,05/2002,0.41176470588235303
8,06/2002,0.31016042780748676
9,07/2002,0.20320855614973277
10,08/2002,0.2192513368983955
11,09/2002,0.2085561497326205
12,10/2002,0.06417112299465244
13,11/2002,0.09090909090909105
14,12/2002,0.03208556149732611
15,01/2003,0.2459893048128341
16,02/2003,0.6844919786096255
17,03/2003,0.695187165775401
18,04/2003,0.8235294117647058
19,05/2003,0.8128342245989304
20,06/2003,0.7967914438502672
21,07/2003,0.6042780748663101
22,08/2003,0.518716577540107
23,09/2003,0.4652406417112298
24,10/2003,0.39037433155080214
25,11/2003,0.4598930481283421
26,12/2003,0.4598930481283421
27,01/2004,0.26203208556149726
28,02/2004,0.5133689839572193
29,03/2004,0.6898395721925132
30,04/2004,0.5721925133689838
31,05/2004,0.4866310160427807
32,06/2004,0.4919786096256684
33,07/2004,0.31016042780748676
34,08/2004,0.21390374331550777
35,09/2004,0.21390374331550777
36,10/2004,0.19786096256684504
37,11/2004,0.2085561497326205
38,12/2004,0.22459893048128365
39,01/2005,0.12299465240641738
40,02/2005,0.4010695187165776
41,03/2005,0.588235294117647
42,04/2005,0.5347593582887697
43,05/2005,0.49732620320855614
44,06/2005,0.47058823529411753
45,07/2005,0.3582887700534758
46,08/2005,0.2727272727272727
47,09/2005,0.30481283422459904
48,10/2005,0.36363636363636354
49,11/2005,0.3315508021390372
50,12/2005,0.3155080213903745
51,01/2006,0.2513368983957218
52,02/2006,0.4652406417112298
53,03/2006,0.5935828877005347
54,04/2006,0.6096256684491979
55,05/2006,0.5401069518716575
56,06/2006,0.6096256684491979
57,07/2006,0.5775401069518715
58,08/2006,0.5668449197860961
59,09/2006,0.5614973262032084
60,10/2006,0.44385026737967936
61,11/2006,0.5935828877005347
62,12/2006,0.41711229946524075
63,01/2007,0.4919786096256684
64,02/2007,0.6096256684491979
65,03/2007,0.5935828877005347
66,04/2007,0.7058823529411764
67,05/2007,0.5347593582887697
68,06/2007,0.625668449197861
69,07/2007,0.4866310160427807
70,08/2007,0.4652406417112298
71,09/2007,0.4491978609625671
72,10/2007,0.47593582887700525
73,11/2007,0.3529411764705881
74,12/2007,0.5775401069518715
75,01/2008,0.3850267379679144
76,02/2008,0.5828877005347592
77,03/2008,0.7433155080213905
78,04/2008,0.7593582887700532
79,05/2008,0.6363636363636365
80,06/2008,0.7112299465240641
81,07/2008,0.6737967914438501
82,08/2008,0.7593582887700532
83,09/2008,0.6631016042780751
84,10/2008,0.5828877005347592
85,11/2008,0.6363636363636365
86,12/2008,0.6898395721925132
87,01/2009,0.49732620320855614
88,02/2009,0.7967914438502672
89,03/2009,0.9304812834224598
90,04/2009,0.9999999999999998
