,Data,10798 - Distribuição de desocupados segundo o tempo de procura de emprego - De 7 a 11 meses - %
0,10/2001,0.5806451612903225
1,11/2001,0.5053763440860215
2,12/2001,0.4946236559139785
3,01/2002,0.39784946236559127
4,02/2002,0.34408602150537626
5,03/2002,0.22580645161290325
6,04/2002,0.3548387096774195
7,05/2002,0.30107526881720437
8,06/2002,0.39784946236559127
9,07/2002,0.34408602150537626
10,08/2002,0.4408602150537635
11,09/2002,0.5268817204301075
12,10/2002,0.4516129032258063
13,11/2002,0.4731182795698925
14,12/2002,0.6021505376344085
15,01/2003,0.26881720430107525
16,02/2003,0.15053763440860224
17,03/2003,0.22580645161290325
18,04/2003,0.29032258064516125
19,05/2003,0.24731182795698936
20,06/2003,0.34408602150537626
21,07/2003,0.6989247311827957
22,08/2003,0.838709677419355
23,09/2003,0.7956989247311828
24,10/2003,1.0
25,11/2003,0.7311827956989247
26,12/2003,0.5483870967741935
27,01/2004,0.3763440860215055
28,02/2004,0.29032258064516125
29,03/2004,0.20430107526881724
30,04/2004,0.15053763440860224
31,05/2004,0.23655913978494614
32,06/2004,0.26881720430107525
33,07/2004,0.4838709677419355
34,08/2004,0.6344086021505377
35,09/2004,0.5376344086021505
36,10/2004,0.5053763440860215
37,11/2004,0.5483870967741935
38,12/2004,0.6559139784946235
39,01/2005,0.20430107526881724
40,02/2005,0.13978494623655913
41,03/2005,0.043010752688172116
42,04/2005,0.12903225806451624
43,05/2005,0.17204301075268813
44,06/2005,0.13978494623655913
45,07/2005,0.38709677419354827
46,08/2005,0.5591397849462365
47,09/2005,0.5268817204301075
48,10/2005,0.6989247311827957
49,11/2005,0.5161290322580645
50,12/2005,0.4516129032258063
51,01/2006,0.27956989247311825
52,02/2006,0.24731182795698936
53,03/2006,0.08602150537634412
54,04/2006,0.18279569892473124
55,05/2006,0.31182795698924737
56,06/2006,0.20430107526881724
57,07/2006,0.33333333333333326
58,08/2006,0.4623655913978495
59,09/2006,0.5161290322580645
60,10/2006,0.6666666666666665
61,11/2006,0.5376344086021505
62,12/2006,0.4731182795698925
63,01/2007,0.06451612903225812
64,02/2007,0.12903225806451624
65,03/2007,0.15053763440860224
66,04/2007,0.10752688172043012
67,05/2007,0.08602150537634412
68,06/2007,0.11827956989247312
69,07/2007,0.27956989247311825
70,08/2007,0.4086021505376345
71,09/2007,0.4731182795698925
72,10/2007,0.5161290322580645
73,11/2007,0.39784946236559127
74,12/2007,0.23655913978494614
75,01/2008,0.19354838709677424
76,02/2008,0.043010752688172116
77,03/2008,0.06451612903225812
78,04/2008,0.010752688172043001
79,05/2008,0.17204301075268813
80,06/2008,0.11827956989247312
81,07/2008,0.17204301075268813
82,08/2008,0.33333333333333326
83,09/2008,0.5268817204301075
84,10/2008,0.5698924731182797
85,11/2008,0.4946236559139785
86,12/2008,0.3655913978494625
87,01/2009,0.12903225806451624
88,02/2009,0.021505376344086113
89,03/2009,0.09677419354838723
90,04/2009,0.0
