,Data,11067 - Indicadores da produção (2002=100) - Por categoria de uso - Bens de capital - Índice
0,10/2001,0.17987876879477283
1,11/2001,0.11674407620247185
2,12/2001,0.005195623081161838
3,01/2002,0.023301582303392854
4,02/2002,0.005589230890340802
5,03/2002,0.09855939541840497
6,04/2002,0.1450051169015193
7,05/2002,0.12304180114933472
8,06/2002,0.06368574352515155
9,07/2002,0.14280091317011723
10,08/2002,0.10257419507203014
11,09/2002,0.1009997638353144
12,10/2002,0.18129575690781696
13,11/2002,0.12910336141069034
14,12/2002,0.04062032590726594
15,01/2003,0.0
16,02/2003,0.03636936156813353
17,03/2003,0.030071636621270437
18,04/2003,0.05274344642997719
19,05/2003,0.07706840903723533
20,06/2003,0.04077776903093755
21,07/2003,0.11052507281744473
22,08/2003,0.10564433598362588
23,09/2003,0.1805872628512949
24,10/2003,0.28725497913878606
25,11/2003,0.2936314256474848
26,12/2003,0.14657954813823504
27,01/2004,0.11044635125560887
28,02/2004,0.11414626466189082
29,03/2004,0.31740533732189224
30,04/2004,0.2356136345745099
31,05/2004,0.29520585688420053
32,06/2004,0.29056128473588905
33,07/2004,0.3150436904668187
34,08/2004,0.3512556089112807
35,09/2004,0.31134377706053684
36,10/2004,0.334173029992915
37,11/2004,0.3369282846571676
38,12/2004,0.25049200976147357
39,01/2005,0.16728331890104697
40,02/2005,0.12367157364402104
41,03/2005,0.31630323545619154
42,04/2005,0.25993859718176804
43,05/2005,0.33519641029678027
44,06/2005,0.3725104306069432
45,07/2005,0.28379123041801146
46,08/2005,0.3891994017161299
47,09/2005,0.3800677005431786
48,10/2005,0.3483429111233566
49,11/2005,0.3819570180272377
50,12/2005,0.3170117295127136
51,01/2006,0.22372667873730612
52,02/2006,0.21215460914744544
53,03/2006,0.41777532866252065
54,04/2006,0.25757695032669436
55,05/2006,0.3982523813272455
56,06/2006,0.3511768873494451
57,07/2006,0.3667637565929308
58,08/2006,0.4624891757852475
59,09/2006,0.3830591198929386
60,10/2006,0.44705974966543327
61,11/2006,0.4648508226403213
62,12/2006,0.3780209399354483
63,01/2007,0.3857356529953554
64,02/2007,0.3424387939856727
65,03/2007,0.5581358734157286
66,04/2007,0.42918995512870983
67,05/2007,0.6159174998031961
68,06/2007,0.5286940092891442
69,07/2007,0.5689207273872313
70,08/2007,0.6966858222467133
71,09/2007,0.6069432417539163
72,10/2007,0.7634417066834603
73,11/2007,0.7420294418641263
74,12/2007,0.5902542706447295
75,01/2008,0.5476659056915688
76,02/2008,0.5965519955915924
77,03/2008,0.7234511532708808
78,04/2008,0.76139494607573
79,05/2008,0.7085727780839169
80,06/2008,0.802408879792175
81,07/2008,0.8690073211052506
82,08/2008,0.8488546012752892
83,09/2008,0.9320632921357158
84,10/2008,0.9999999999999999
85,11/2008,0.7952452176651185
86,12/2008,0.4051798787687947
87,01/2009,0.36881051720066116
88,02/2009,0.2824529638668031
89,03/2009,0.42045186176493743
90,04/2009,0.33614106903880947
