,Data,11068 - Indicadores da produção (2002=100) - Por categoria de uso - Bens intermediários - Índice
0,10/2001,0.2555760180069573
1,11/2001,0.1763863310824636
2,12/2001,0.0
3,01/2002,0.1266625741763865
4,02/2002,0.0726417024759567
5,03/2002,0.2713321055862492
6,04/2002,0.3003887865766317
7,05/2002,0.36341313689379984
8,06/2002,0.32617147534274604
9,07/2002,0.42664211172498456
10,08/2002,0.40945365254757515
11,09/2002,0.36157151626764916
12,10/2002,0.4759566196030285
13,11/2002,0.34499693063229
14,12/2002,0.15367301002660105
15,01/2003,0.21240024554941694
16,02/2003,0.13607530182115823
17,03/2003,0.36832412523020297
18,04/2003,0.3069367710251689
19,05/2003,0.3877634540617967
20,06/2003,0.3028442807448335
21,07/2003,0.4213218743605487
22,08/2003,0.41231839574381013
23,09/2003,0.4657253939021895
24,10/2003,0.5310006138735424
25,11/2003,0.3589113975854308
26,12/2003,0.22733783507264183
27,01/2004,0.2672396153059138
28,02/2004,0.22488234090444048
29,03/2004,0.5213832617147536
30,04/2004,0.4200941272764478
31,05/2004,0.5453243298547168
32,06/2004,0.534274606097811
33,07/2004,0.6451810926949051
34,08/2004,0.6572539390218948
35,09/2004,0.6114180478821365
36,10/2004,0.643339472068754
37,11/2004,0.5334561080417437
38,12/2004,0.3758952322488236
39,01/2005,0.34827092285655814
40,02/2005,0.24473091876406805
41,03/2005,0.5177000204624518
42,04/2005,0.5035809289952939
43,05/2005,0.6097810517700024
44,06/2005,0.6042561898915495
45,07/2005,0.6048700634335997
46,08/2005,0.6717822795170862
47,09/2005,0.5899324739103746
48,10/2005,0.6306527521997136
49,11/2005,0.5273173726212401
50,12/2005,0.38182934315531014
51,01/2006,0.4063842848373236
52,02/2006,0.29158993247391063
53,03/2006,0.5885001023122571
54,04/2006,0.46777163904235763
55,05/2006,0.7024759566196033
56,06/2006,0.5954573357888275
57,07/2006,0.687129118068345
58,08/2006,0.7546552076938817
59,09/2006,0.6101903007980356
60,10/2006,0.674033149171271
61,11/2006,0.6009821976672804
62,12/2006,0.4151831389400451
63,01/2007,0.4741149989768778
64,02/2007,0.3621853898096994
65,03/2007,0.7002250869654185
66,04/2007,0.5825659914057706
67,05/2007,0.7767546552076943
68,06/2007,0.7184366687129122
69,07/2007,0.806629834254144
70,08/2007,0.863310824636792
71,09/2007,0.691426232862697
72,10/2007,0.8884796398608557
73,11/2007,0.7129118068344593
74,12/2007,0.5616942909760594
75,01/2008,0.6523429506854921
76,02/2008,0.5809289952936365
77,03/2008,0.7139349294045432
78,04/2008,0.7172089216288113
79,05/2008,0.8354818907305099
80,06/2008,0.847350112543483
81,07/2008,1.0
82,08/2008,0.9087374667485171
83,09/2008,0.8479639860855333
84,10/2008,0.822590546347453
85,11/2008,0.5224063842848374
86,12/2008,0.13648455084919187
87,01/2009,0.1624718641293228
88,02/2009,0.09494577450378561
89,03/2009,0.3881727030898303
90,04/2009,0.3357888275015348
