,Data,11070 - Indicadores da produção (2002=100) - Por categoria de uso - Bens de consumo (duráveis) - Índice
0,10/2001,0.1778350515463918
1,11/2001,0.21373977959473867
2,12/2001,0.0
3,01/2002,0.054745822964806234
4,02/2002,0.038570920725204516
5,03/2002,0.19534305012442243
6,04/2002,0.29025950942054746
7,05/2002,0.2017419125488803
8,06/2002,0.08736224671169568
9,07/2002,0.181389975115535
10,08/2002,0.15988268752221835
11,09/2002,0.22253821542836838
12,10/2002,0.372378243867757
13,11/2002,0.3413615357269819
14,12/2002,0.10309278350515472
15,01/2003,0.11980092428012801
16,02/2003,0.13979736935655895
17,03/2003,0.08682900817632433
18,04/2003,0.17730181301102033
19,05/2003,0.1809456096693921
20,06/2003,0.09847138286526846
21,07/2003,0.16414859580519026
22,08/2003,0.16965872733736231
23,09/2003,0.33771773906861013
24,10/2003,0.44534305012442243
25,11/2003,0.4302346249555635
26,12/2003,0.2148062566654817
27,01/2004,0.24182367579097064
28,02/2004,0.1687699964450765
29,03/2004,0.43423391397084954
30,04/2004,0.37868823320298617
31,05/2004,0.3879310344827587
32,06/2004,0.3849093494489868
33,07/2004,0.39273018130110193
34,08/2004,0.48453608247422686
35,09/2004,0.5209740490579453
36,10/2004,0.5485247067188055
37,11/2004,0.64975115535016
38,12/2004,0.3706896551724139
39,01/2005,0.27319587628865993
40,02/2005,0.3418059011731249
41,03/2005,0.5820298613579808
42,04/2005,0.5718983291859225
43,05/2005,0.6226448631354426
44,06/2005,0.6411304656949877
45,07/2005,0.5367045858514043
46,08/2005,0.6416637042303592
47,09/2005,0.5268396729470317
48,10/2005,0.5807856381087806
49,11/2005,0.6477070742979025
50,12/2005,0.5251510842516887
51,01/2006,0.4579630287948808
52,02/2006,0.5039992890152862
53,03/2006,0.7252932811944544
54,04/2006,0.5778528261642375
55,05/2006,0.7239601848560258
56,06/2006,0.5853181656594384
57,07/2006,0.5502132954141485
58,08/2006,0.7144507643085676
59,09/2006,0.5916281549946676
60,10/2006,0.7377355136864556
61,11/2006,0.7709740490579453
62,12/2006,0.4118378954852471
63,01/2007,0.5093316743690011
64,02/2007,0.4725382154283684
65,03/2007,0.7940810522573765
66,04/2007,0.6462851048702454
67,05/2007,0.8091894774262354
68,06/2007,0.6872555990046214
69,07/2007,0.7431567721293992
70,08/2007,0.8985958051901886
71,09/2007,0.7605758976182013
72,10/2007,1.0
73,11/2007,0.9339672947031639
74,12/2007,0.5275506576608604
75,01/2008,0.6988979736935657
76,02/2008,0.7147173835762533
77,03/2008,0.8926413082118734
78,04/2008,0.9480981158905084
79,05/2008,0.8932634198364735
80,06/2008,0.8984180590117312
81,07/2008,0.8851759687166725
82,08/2008,0.9436544614290794
83,09/2008,0.9806256665481692
84,10/2008,0.9919125488801992
85,11/2008,0.5709207252044082
86,12/2008,0.01501955207963035
87,01/2009,0.26413082118734443
88,02/2009,0.3698897973693567
89,03/2009,0.6761464628510487
90,04/2009,0.5874511198009242
