,Data,11071 - Indicadores da produção (2002=100) - Por categoria de uso - Bens de consumo (não-duráveis e semiduráveis) - Índice
0,10/2001,0.616884606561138
1,11/2001,0.6308786418903418
2,12/2001,0.21266345492085348
3,01/2002,0.1867400779995414
4,02/2002,0.07341133287451251
5,03/2002,0.23078687772424855
6,04/2002,0.28951594402385883
7,05/2002,0.28722183987153027
8,06/2002,0.18375774260151445
9,07/2002,0.42005047029135145
10,08/2002,0.5393438862124342
11,09/2002,0.46891488873594867
12,10/2002,0.7692131222757514
13,11/2002,0.6033493920623996
14,12/2002,0.3069511355815555
15,01/2003,0.13649919706354696
16,02/2003,0.061252580867171336
17,03/2003,0.12938747419132834
18,04/2003,0.10392291810048171
19,05/2003,0.21335168616655187
20,06/2003,0.12502867630190417
21,07/2003,0.27850424409268193
22,08/2003,0.3312686395962374
23,09/2003,0.4540032117458135
24,10/2003,0.6182610690525352
25,11/2003,0.4980500114705211
26,12/2003,0.34732736866253733
27,01/2004,0.13466391374168385
28,02/2004,0.0
29,03/2004,0.3314980500114708
30,04/2004,0.16104611149346226
31,05/2004,0.25579261298462974
32,06/2004,0.2622161046111495
33,07/2004,0.3840330350997938
34,08/2004,0.4907088781830695
35,09/2004,0.5790318880477177
36,10/2004,0.614131681578344
37,11/2004,0.6416609314062858
38,12/2004,0.5095205322321634
39,01/2005,0.33172746042670376
40,02/2005,0.1016288139481536
41,03/2005,0.37003899977058996
42,04/2005,0.34296857077311316
43,05/2005,0.4170681348933245
44,06/2005,0.42532690984170696
45,07/2005,0.4540032117458135
46,08/2005,0.6733195687084197
47,09/2005,0.5776554255563204
48,10/2005,0.6490020646937373
49,11/2005,0.7042899747648543
50,12/2005,0.5726083964211979
51,01/2006,0.33310392291810054
52,02/2006,0.22872218398715294
53,03/2006,0.5127322780454233
54,04/2006,0.2899747648543243
55,05/2006,0.5347556779077771
56,06/2006,0.4624913971094289
57,07/2006,0.5368203716448727
58,08/2006,0.7070428997476488
59,09/2006,0.6375315439320945
60,10/2006,0.7967423721036937
61,11/2006,0.7763248451479696
62,12/2006,0.5682495985317737
63,01/2007,0.38816242257398503
64,02/2007,0.24684560679054846
65,03/2007,0.5248910300527645
66,04/2007,0.3819683413626982
67,05/2007,0.6329433356274374
68,06/2007,0.5923376921312231
69,07/2007,0.632255104381739
70,08/2007,0.8203716448726772
71,09/2007,0.6909841706813489
72,10/2007,0.9688001835283324
73,11/2007,0.8944712089928886
74,12/2007,0.6026611608167012
75,01/2008,0.5258086717136958
76,02/2008,0.27162193163569626
77,03/2008,0.451479697178252
78,04/2008,0.5129616884606563
79,05/2008,0.6301904106446434
80,06/2008,0.6072493691213583
81,07/2008,0.7646249139710943
82,08/2008,0.7864189034182152
83,09/2008,0.8754301445285617
84,10/2008,1.0
85,11/2008,0.8105069970176646
86,12/2008,0.5540261527873369
87,01/2009,0.31566873136040385
88,02/2009,0.20807524661619636
89,03/2009,0.5278733654507914
90,04/2009,0.41959164946088556
