,Data,1522 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Índice
0,10/2001,0.09666666666666668
1,11/2001,0.09500000000000003
2,12/2001,0.3633333333333334
3,01/2002,0.08666666666666667
4,02/2002,0.015000000000000069
5,03/2002,0.07166666666666671
6,04/2002,0.07500000000000001
7,05/2002,0.1216666666666667
8,06/2002,0.04666666666666669
9,07/2002,0.06833333333333336
10,08/2002,0.08000000000000002
11,09/2002,0.041666666666666685
12,10/2002,0.09500000000000003
13,11/2002,0.08666666666666667
14,12/2002,0.30166666666666664
15,01/2003,0.03666666666666668
16,02/2003,0.0050000000000000044
17,03/2003,0.0
18,04/2003,0.0016666666666667052
19,05/2003,0.06833333333333336
20,06/2003,0.026666666666666727
21,07/2003,0.06333333333333335
22,08/2003,0.07500000000000001
23,09/2003,0.07166666666666671
24,10/2003,0.1233333333333334
25,11/2003,0.13
26,12/2003,0.44333333333333336
27,01/2004,0.11500000000000005
28,02/2004,0.06833333333333336
29,03/2004,0.1383333333333333
30,04/2004,0.1266666666666667
31,05/2004,0.22333333333333338
32,06/2004,0.17333333333333334
33,07/2004,0.20666666666666667
34,08/2004,0.20333333333333337
35,09/2004,0.16333333333333333
36,10/2004,0.21999999999999997
37,11/2004,0.2400000000000001
38,12/2004,0.6383333333333333
39,01/2005,0.21333333333333337
40,02/2005,0.14333333333333342
41,03/2005,0.22999999999999998
42,04/2005,0.2483333333333334
43,05/2005,0.33499999999999996
44,06/2005,0.29000000000000004
45,07/2005,0.30333333333333334
46,08/2005,0.30166666666666664
47,09/2005,0.22999999999999998
48,10/2005,0.29000000000000004
49,11/2005,0.33000000000000007
50,12/2005,0.735
51,01/2006,0.2866666666666666
52,02/2006,0.19333333333333336
53,03/2006,0.29500000000000004
54,04/2006,0.2666666666666667
55,05/2006,0.44333333333333336
56,06/2006,0.31166666666666665
57,07/2006,0.31500000000000006
58,08/2006,0.3750000000000001
59,09/2006,0.355
60,10/2006,0.4116666666666666
61,11/2006,0.43166666666666675
62,12/2006,0.8016666666666666
63,01/2007,0.44666666666666666
64,02/2007,0.30333333333333334
65,03/2007,0.41500000000000004
66,04/2007,0.3500000000000001
67,05/2007,0.5283333333333333
68,06/2007,0.42166666666666675
69,07/2007,0.44166666666666676
70,08/2007,0.5033333333333333
71,09/2007,0.44833333333333336
72,10/2007,0.52
73,11/2007,0.5583333333333333
74,12/2007,0.9399999999999998
75,01/2008,0.5783333333333334
76,02/2008,0.45333333333333337
77,03/2008,0.5283333333333333
78,04/2008,0.5533333333333333
79,05/2008,0.6750000000000002
80,06/2008,0.5516666666666666
81,07/2008,0.6033333333333333
82,08/2008,0.62
83,09/2008,0.6233333333333334
84,10/2008,0.6616666666666667
85,11/2008,0.6016666666666667
86,12/2008,1.0
87,01/2009,0.6366666666666666
88,02/2009,0.43666666666666665
89,03/2009,0.52
90,04/2009,0.45999999999999996
