,Data,"1548 - Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Brasil - Índice"
0,10/2001,0.30722891566265065
1,11/2001,0.24297188755020094
2,12/2001,0.18473895582329325
3,01/2002,0.1987951807228917
4,02/2002,0.05421686746987964
5,03/2002,0.19678714859437763
6,04/2002,0.2670682730923697
7,05/2002,0.1405622489959839
8,06/2002,0.03614457831325313
9,07/2002,0.15662650602409645
10,08/2002,0.16867469879518082
11,09/2002,0.16465863453815266
12,10/2002,0.1987951807228917
13,11/2002,0.09236947791164662
14,12/2002,0.09036144578313254
15,01/2003,0.07028112449799195
16,02/2003,0.09036144578313254
17,03/2003,0.012048192771084376
18,04/2003,0.04417670682730934
19,05/2003,0.030120481927710885
20,06/2003,0.0
21,07/2003,0.05421686746987964
22,08/2003,0.014056224899598457
23,09/2003,0.12650602409638567
24,10/2003,0.16265060240963858
25,11/2003,0.14457831325301207
26,12/2003,0.2188755020080323
27,01/2004,0.1405622489959839
28,02/2004,0.08433734939759041
29,03/2004,0.26907630522088377
30,04/2004,0.1506024096385542
31,05/2004,0.1987951807228917
32,06/2004,0.2269076305220885
33,07/2004,0.23895582329317278
34,08/2004,0.26907630522088377
35,09/2004,0.2670682730923697
36,10/2004,0.2550200803212852
37,11/2004,0.3032128514056225
38,12/2004,0.40361445783132543
39,01/2005,0.24497991967871502
40,02/2005,0.0763052208835342
41,03/2005,0.2751004016064258
42,04/2005,0.19678714859437763
43,05/2005,0.21686746987951822
44,06/2005,0.23092369477911645
45,07/2005,0.19076305220883538
46,08/2005,0.32530120481927716
47,09/2005,0.24297188755020094
48,10/2005,0.24899598393574318
49,11/2005,0.3333333333333335
50,12/2005,0.41164658634538154
51,01/2006,0.24497991967871502
52,02/2006,0.08232931726907633
53,03/2006,0.3393574297188757
54,04/2006,0.14658634538152626
55,05/2006,0.3413654618473896
56,06/2006,0.19076305220883538
57,07/2006,0.34337349397590367
58,08/2006,0.43775100401606437
59,09/2006,0.34337349397590367
60,10/2006,0.4337349397590362
61,11/2006,0.4698795180722892
62,12/2006,0.5080321285140561
63,01/2007,0.39156626506024095
64,02/2007,0.2530120481927711
65,03/2007,0.5441767068273093
66,04/2007,0.4618473895582329
67,05/2007,0.5702811244979922
68,06/2007,0.5060240963855422
69,07/2007,0.5983935742971886
70,08/2007,0.7550200803212854
71,09/2007,0.572289156626506
72,10/2007,0.7971887550200805
73,11/2007,0.744979919678715
74,12/2007,0.6847389558232935
75,01/2008,0.6345381526104419
76,02/2008,0.5682730923694779
77,03/2008,0.7389558232931726
78,04/2008,0.8273092369477912
79,05/2008,0.7610441767068274
80,06/2008,0.8493975903614457
81,07/2008,0.9397590361445782
82,08/2008,0.7911646586345382
83,09/2008,0.9598393574297188
84,10/2008,0.6827309236947792
85,11/2008,0.4357429718875503
86,12/2008,0.6164658634538154
87,01/2009,0.6305220883534137
88,02/2009,0.566265060240964
89,03/2009,1.0
90,04/2009,0.642570281124498
