,Data,1561 - Índice volume de vendas no varejo - Hipermercados e supermercados - Brasil - Índice
0,10/2001,0.16824644549763024
1,11/2001,0.15165876777251186
2,12/2001,0.5592417061611374
3,01/2002,0.1161137440758293
4,02/2002,0.05924170616113744
5,03/2002,0.2748815165876777
6,04/2002,0.10426540284360186
7,05/2002,0.17772511848341233
8,06/2002,0.11137440758293837
9,07/2002,0.13744075829383884
10,08/2002,0.1872037914691942
11,09/2002,0.0781990521327014
12,10/2002,0.17061611374407581
13,11/2002,0.14218009478672977
14,12/2002,0.42417061611374396
15,01/2003,0.05924170616113744
16,02/2003,0.009478672985781866
17,03/2003,0.08767772511848348
18,04/2003,0.09952606635071093
19,05/2003,0.09478672985781977
20,06/2003,0.0
21,07/2003,0.06635071090047395
22,08/2003,0.11137440758293837
23,09/2003,0.03554502369668233
24,10/2003,0.1161137440758293
25,11/2003,0.11137440758293837
26,12/2003,0.45260663507109
27,01/2004,0.09715639810426535
28,02/2004,0.06872037914691931
29,03/2004,0.13507109004739348
30,04/2004,0.19194312796208535
31,05/2004,0.15876777251184837
32,06/2004,0.11137440758293837
33,07/2004,0.2037914691943128
34,08/2004,0.16587677725118488
35,09/2004,0.15402843601895722
36,10/2004,0.26303317535545023
37,11/2004,0.2014218009478672
38,12/2004,0.6587677725118484
39,01/2005,0.18246445497630326
40,02/2005,0.056872037914691864
41,03/2005,0.2582938388625591
42,04/2005,0.1635071090047393
43,05/2005,0.1635071090047393
44,06/2005,0.14218009478672977
45,07/2005,0.2345971563981042
46,08/2005,0.21327014218009466
47,09/2005,0.18957345971563977
48,10/2005,0.2677725118483414
49,11/2005,0.22274881516587675
50,12/2005,0.6729857819905214
51,01/2006,0.2345971563981042
52,02/2006,0.15165876777251186
53,03/2006,0.2867298578199051
54,04/2006,0.36255924170616116
55,05/2006,0.2677725118483414
56,06/2006,0.26303317535545023
57,07/2006,0.31042654028436023
58,08/2006,0.32701421800947883
59,09/2006,0.34597156398104256
60,10/2006,0.3649289099526065
61,11/2006,0.3601895734597156
62,12/2006,0.8080568720379147
63,01/2007,0.30805687203791465
64,02/2007,0.2654028436018958
65,03/2007,0.45734597156398116
66,04/2007,0.43127962085308047
67,05/2007,0.39336492890995256
68,06/2007,0.38625592417061627
69,07/2007,0.38625592417061627
70,08/2007,0.4218009478672986
71,09/2007,0.44786729857819907
72,10/2007,0.45023696682464465
73,11/2007,0.4597156398104265
74,12/2007,0.9336492890995258
75,01/2008,0.4383886255924172
76,02/2008,0.38625592417061627
77,03/2008,0.59478672985782
78,04/2008,0.43127962085308047
79,05/2008,0.5213270142180095
80,06/2008,0.40521327014218
81,07/2008,0.4668246445497628
82,08/2008,0.5450236966824646
83,09/2008,0.4620853080568721
84,10/2008,0.566350710900474
85,11/2008,0.5545023696682463
86,12/2008,0.9999999999999998
87,01/2009,0.54739336492891
88,02/2009,0.47393364928909976
89,03/2009,0.5829383886255923
90,04/2009,0.6611374407582937
