,Data,1620 - Taxa de desemprego - Região metropolitana - Brasil (na semana) - Desativada - Var. % mensal
0,10/2001,0.5325203252032522
1,11/2001,0.4715447154471546
2,12/2001,0.14634146341463428
3,01/2002,0.6463414634146343
4,02/2002,0.7073170731707319
5,03/2002,0.7520325203252032
6,04/2002,0.9471544715447155
7,05/2002,1.0
8,06/2002,0.9186991869918701
9,07/2002,0.9308943089430897
10,08/2002,0.8373983739837398
11,09/2002,0.9227642276422765
12,10/2002,0.8617886178861789
13,11/2002,0.7439024390243905
14,12/2002,0.0
