Data;4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões)
10/2001;116.139,0
11/2001;117.882,0
12/2001;113.016,7
01/2002;112.374,8
02/2002;111.477,1
03/2002;118.444,7
04/2002;120.385,9
05/2002;123.552,5
06/2002;123.424,4
07/2002;126.856,6
08/2002;127.800,1
09/2002;125.137,8
10/2002;133.125,4
11/2002;135.966,6
12/2002;130.241,2
01/2003;127.177,5
02/2003;131.373,6
03/2003;138.690,5
04/2003;141.388,1
05/2003;139.605,8
06/2003;137.993,4
07/2003;145.970,6
08/2003;144.819,4
09/2003;148.559,8
10/2003;154.925,9
11/2003;153.644,4
12/2003;153.801,4
01/2004;144.558,6
02/2004;142.861,3
03/2004;157.363,5
04/2004;156.953,9
05/2004;159.498,9
06/2004;165.342,2
07/2004;171.370,9
08/2004;169.178,9
09/2004;164.702,5
10/2004;170.536,5
11/2004;176.921,5
12/2004;178.462,4
01/2005;163.540,1
02/2005;160.701,6
03/2005;175.468,7
04/2005;177.178,9
05/2005;177.496,7
06/2005;180.881,8
07/2005;184.073,7
08/2005;187.246,6
09/2005;181.538,9
10/2005;189.183,0
11/2005;194.794,5
12/2005;198.480,1
01/2006;185.564,8
02/2006;178.482,2
03/2006;190.223,4
04/2006;185.030,6
05/2006;197.874,3
06/2006;199.071,9
07/2006;206.974,4
08/2006;209.818,0
09/2006;201.055,3
10/2006;214.271,7
11/2006;219.724,1
12/2006;221.359,1
01/2007;211.130,6
02/2007;202.703,9
03/2007;217.588,5
04/2007;215.128,5
05/2007;226.537,7
06/2007;228.988,5
07/2007;233.823,9
08/2007;235.019,1
09/2007;223.002,9
10/2007;241.939,4
11/2007;241.938,8
12/2007;242.461,1
01/2008;237.248,1
02/2008;232.681,3
03/2008;242.125,8
04/2008;248.795,2
05/2008;254.938,0
06/2008;265.791,9
07/2008;278.096,8
08/2008;269.235,7
09/2008;265.270,1
10/2008;280.522,4
11/2008;270.696,8
12/2008;264.400,9
01/2009;249.932,0
02/2009;244.020,2
03/2009;262.174,9
04/2009;259.557,8
Fonte;BCB-Depec
