Data;2860 - Investimento estrangeiro direto - IED (líquido) - mensal - US$ (milhões)
10/2001;1.335,1
11/2001;2.181,9
12/2001;3.659,0
01/2002;1.475,4
02/2002;856,3
03/2002;2.386,9
04/2002;1.964,2
05/2002;1.427,9
06/2002;1.530,2
07/2002;930,4
08/2002;881,8
09/2002;1.236,3
10/2002;1.244,2
11/2002;1.154,1
12/2002;1.502,5
01/2003;904,9
02/2003;788,5
03/2003;283,7
04/2003;796,4
05/2003;541,3
06/2003;185,6
07/2003;1.247,0
08/2003;979,9
09/2003;739,4
10/2003;314,2
11/2003;1.953,7
12/2003;1.409,0
01/2004;1.019,7
02/2004;1.015,8
03/2004;698,7
04/2004;377,8
05/2004;206,1
06/2004;725,1
07/2004;1.585,7
08/2004;6.089,4
09/2004;646,0
10/2004;1.312,6
11/2004;1.319,2
12/2004;3.149,8
01/2005;1.203,3
02/2005;844,5
03/2005;1.394,9
04/2005;3.037,2
05/2005;708,6
06/2005;1.325,4
07/2005;2.029,4
08/2005;1.090,0
09/2005;31,2
10/2005;823,5
11/2005;1.172,1
12/2005;1.406,3
01/2006;1.474,4
02/2006;854,1
03/2006;1.657,8
04/2006;785,2
05/2006;1.577,1
06/2006;1.032,5
07/2006;1.586,0
08/2006;1.256,4
09/2006;1.752,1
10/2006;1.721,9
11/2006;2.667,5
12/2006;2.457,3
01/2007;2.422,0
02/2007;1.377,5
03/2007;2.766,0
04/2007;3.471,2
05/2007;497,1
06/2007;10.318,4
07/2007;3.613,4
08/2007;1.979,2
09/2007;1.536,9
10/2007;3.187,6
11/2007;2.529,7
12/2007;885,9
01/2008;4.826,1
02/2008;890,0
03/2008;3.083,2
04/2008;3.872,0
05/2008;1.312,8
06/2008;2.725,8
07/2008;3.266,3
08/2008;4.637,8
09/2008;6.241,4
10/2008;3.913,2
11/2008;2.174,5
12/2008;8.115,2
01/2009;1.930,0
02/2009;1.968,3
03/2009;1.444,0
04/2009;3.409,1
Fonte;BCB-DSTAT
