Data;2852 - Investimento brasileiro direto - IBD (líquido) - mensal - US$ (milhões)
10/2001;11,7
11/2001;-416,4
12/2001;792,7
01/2002;-8,8
02/2002;-345,9
03/2002;-171,5
04/2002;-212,7
05/2002;-201,5
06/2002;-92,5
07/2002;-653,2
08/2002;-266,2
09/2002;-344,5
10/2002;-56,5
11/2002;-36,7
12/2002;-91,9
01/2003;-181,0
02/2003;-280,8
03/2003;-234,0
04/2003;37,4
05/2003;-23,6
06/2003;25,7
07/2003;-87,5
08/2003;104,4
09/2003;416,3
10/2003;-16,4
11/2003;29,3
12/2003;-39,0
01/2004;-102,1
02/2004;-0,7
03/2004;-229,2
04/2004;-19,5
05/2004;-9,2
06/2004;-459,5
07/2004;-752,8
08/2004;-6.916,4
09/2004;-446,2
10/2004;-132,9
11/2004;-227,8
12/2004;-510,8
01/2005;-42,9
02/2005;-89,8
03/2005;-764,2
04/2005;49,8
05/2005;-672,1
06/2005;-262,5
07/2005;-282,3
08/2005;-205,9
09/2005;-123,0
10/2005;-3,1
11/2005;-264,1
12/2005;143,3
01/2006;-1.190,8
02/2006;-1.778,0
03/2006;-162,3
04/2006;-343,7
05/2006;-390,9
06/2006;-636,5
07/2006;-656,0
08/2006;-1.283,4
09/2006;-1.363,7
10/2006;-15.022,1
11/2006;-2.117,7
12/2006;-3.257,5
01/2007;4.026,9
02/2007;-624,9
03/2007;-1.465,8
04/2007;803,0
05/2007;767,7
06/2007;-81,1
07/2007;178,6
08/2007;1.751,7
09/2007;-2.057,1
10/2007;-4.146,7
11/2007;-2.439,2
12/2007;-3.779,8
01/2008;-1.347,6
02/2008;-1.011,5
03/2008;-2.094,1
04/2008;-1.644,4
05/2008;-1.439,5
06/2008;-1.041,5
07/2008;-412,1
08/2008;-3.383,7
09/2008;-3.032,9
10/2008;-239,7
11/2008;-1.662,5
12/2008;-3.147,6
01/2009;2,7
02/2009;679,3
03/2009;-289,5
04/2009;-2.793,1
Fonte;BCB-DSTAT
