Data;2851 - Investimento direto total (líquido) - mensal - US$ (milhões)
10/2001;1.346,8
11/2001;1.765,5
12/2001;4.451,7
01/2002;1.466,6
02/2002;510,4
03/2002;2.215,4
04/2002;1.751,5
05/2002;1.226,4
06/2002;1.437,6
07/2002;277,1
08/2002;615,6
09/2002;891,8
10/2002;1.187,7
11/2002;1.117,4
12/2002;1.410,6
01/2003;723,9
02/2003;507,7
03/2003;49,7
04/2003;833,8
05/2003;517,8
06/2003;211,4
07/2003;1.159,5
08/2003;1.084,3
09/2003;1.155,7
10/2003;297,8
11/2003;1.983,0
12/2003;1.370,0
01/2004;917,7
02/2004;1.015,1
03/2004;469,6
04/2004;358,3
05/2004;196,8
06/2004;265,6
07/2004;832,9
08/2004;-827,0
09/2004;199,9
10/2004;1.179,7
11/2004;1.091,4
12/2004;2.639,0
01/2005;1.160,4
02/2005;754,7
03/2005;630,7
04/2005;3.087,1
05/2005;36,5
06/2005;1.062,8
07/2005;1.747,1
08/2005;884,1
09/2005;-91,8
10/2005;820,4
11/2005;908,0
12/2005;1.549,5
01/2006;283,6
02/2006;-923,8
03/2006;1.495,5
04/2006;441,5
05/2006;1.186,2
06/2006;396,0
07/2006;930,0
08/2006;-27,0
09/2006;388,3
10/2006;-13.300,2
11/2006;549,7
12/2006;-800,2
01/2007;6.448,9
02/2007;752,7
03/2007;1.300,2
04/2007;4.274,3
05/2007;1.264,8
06/2007;10.237,3
07/2007;3.791,9
08/2007;3.730,9
09/2007;-520,2
10/2007;-959,2
11/2007;90,5
12/2007;-2.893,9
01/2008;3.478,4
02/2008;-121,5
03/2008;989,1
04/2008;2.227,6
05/2008;-126,7
06/2008;1.684,3
07/2008;2.854,2
08/2008;1.254,1
09/2008;3.208,5
10/2008;3.673,5
11/2008;512,0
12/2008;4.967,6
01/2009;1.932,7
02/2009;2.647,6
03/2009;1.154,5
04/2009;616,1
Fonte;BCB-DSTAT
