,Data,2851 - Investimento direto total (líquido) - mensal - US$ (milhões)
0,10/2001,0.6222835900159321
1,11/2001,0.640072225172597
2,12/2001,0.7541964949548594
3,01/2002,0.6273733404142326
4,02/2002,0.5867488050982476
5,03/2002,0.6591864046733936
6,04/2002,0.6394774296335636
7,05/2002,0.6171683483802444
8,06/2002,0.6261412639405205
9,07/2002,0.5768369622942114
10,08/2002,0.5912182687201275
11,09/2002,0.6029527349973447
12,10/2002,0.6155241635687734
13,11/2002,0.6125374402549124
14,12/2002,0.6249941582580989
15,01/2003,0.5958194370685078
16,02/2003,0.5866340945300054
17,03/2003,0.5671757833244823
18,04/2003,0.6004885820499204
19,05/2003,0.5870631970260224
20,06/2003,0.5740456718003187
21,07/2003,0.6143260754115774
22,08/2003,0.6111311736590548
23,09/2003,0.6141646309081255
24,10/2003,0.577716409984068
25,11/2003,0.6493127987254382
26,12/2003,0.6232692511949018
27,01/2004,0.6040531067445567
28,02/2004,0.6081911842804038
29,03/2004,0.5850154009559215
30,04/2004,0.5802867764206056
31,05/2004,0.5734253850238982
32,06/2004,0.5763483802442911
33,07/2004,0.6004503451938397
34,08/2004,0.5299288369622943
35,09/2004,0.5735570897503984
36,10/2004,0.6151842804036114
37,11/2004,0.611432819968136
38,12/2004,0.6771832182687202
39,01/2005,0.6143643122676581
40,02/2005,0.5971279872543814
41,03/2005,0.5918597981943707
42,04/2005,0.6962209240573554
43,05/2005,0.566614976101965
44,06/2005,0.610217737652682
45,07/2005,0.6392904938927244
46,08/2005,0.6026255974508763
47,09/2005,0.5611640998406798
48,10/2005,0.5999192777482741
49,11/2005,0.6036409984067977
50,12/2005,0.6308953797132236
51,01/2006,0.5771131173659055
52,02/2006,0.5258162506638344
53,03/2006,0.6286011683483803
54,04/2006,0.58382156133829
55,05/2006,0.6154604354753055
56,06/2006,0.5818884758364313
57,07/2006,0.6045756771109931
58,08/2006,0.5639171534784918
59,09/2006,0.5815613382899629
60,10/2006,0.0
61,11/2006,0.5884184811471058
62,12/2006,0.5310674455655869
63,01/2007,0.8390483271375466
64,02/2007,0.5970430164630909
65,03/2007,0.6203037705788637
66,04/2007,0.7466595857673926
67,05/2007,0.6187997875730219
68,06/2007,1.0
69,07/2007,0.7261646309081254
70,08/2007,0.7235730217737654
71,09/2007,0.542963356346256
72,10/2007,0.5243122676579927
73,11/2007,0.5689091874668084
74,12/2007,0.44211577270313335
75,01/2008,0.7128454593733405
76,02/2008,0.559902283590016
77,03/2008,0.6070865639936273
78,04/2008,0.6597047265002656
79,05/2008,0.5596813595326607
80,06/2008,0.636622411046203
81,07/2008,0.6863260754115773
82,08/2008,0.6183451938396177
83,09/2008,0.7013786510886884
84,10/2008,0.7211343600637282
85,11/2008,0.5868167817312799
86,12/2008,0.7761147105682422
87,01/2009,0.6471757833244823
88,02/2009,0.6775485926712693
89,03/2009,0.6141136484333511
90,04/2009,0.5912395114179502
