,Data,2852 - Investimento brasileiro direto - IBD (líquido) - mensal - US$ (milhões)
0,10/2001,0.7892172817470733
1,11/2001,0.7667436610845714
2,12/2001,0.8302168092813271
3,01/2002,0.7881411097695417
4,02/2002,0.7704446427633996
5,03/2002,0.7795999790015223
6,04/2002,0.777437135807654
7,05/2002,0.7780250931807444
8,06/2002,0.7837471783295711
9,07/2002,0.7543125623392304
10,08/2002,0.7746285894272665
11,09/2002,0.7705181374350359
12,10/2002,0.7856370413145047
13,11/2002,0.7866764659562182
14,12/2002,0.7837786760459866
15,01/2003,0.779101265158276
16,02/2003,0.7738621449944879
17,03/2003,0.7763189668749015
18,04/2003,0.7905664339335398
19,05/2003,0.7873641660979579
20,06/2003,0.7899522284634364
21,07/2003,0.7840096592997008
22,08/2003,0.7940836789332774
23,09/2003,0.8104572418499658
24,10/2003,0.7877421386949446
25,11/2003,0.7901412147619298
26,12/2003,0.7865557247099585
27,01/2004,0.7832432148669222
28,02/2004,0.7885663289411518
29,03/2004,0.776570948606226
30,04/2004,0.7875794004934642
31,05/2004,0.7881201112919313
32,06/2004,0.7644810751220537
33,07/2004,0.7490839414142475
34,08/2004,0.4255183999160061
35,09/2004,0.7651792745025986
36,10/2004,0.7816263320909234
37,11/2004,0.7766444432778623
38,12/2004,0.7617880203685232
39,01/2005,0.7863509895532573
40,02/2005,0.7838889180534411
41,03/2005,0.7484854848023518
42,04/2005,0.7912173867394614
43,05/2005,0.7533203842721402
44,06/2005,0.7748228253451624
45,07/2005,0.773783400703449
46,08/2005,0.7777941099270302
47,09/2005,0.7821460444117802
48,10/2005,0.7884403380754895
49,11/2005,0.774738831434721
50,12/2005,0.7961257808808861
51,01/2006,0.7260906084308888
52,02/2006,0.6952648432988608
53,03/2006,0.780082943986561
54,04/2006,0.7705601343902567
55,05/2006,0.7680823140322327
56,06/2006,0.7551892487794635
57,07/2006,0.7541655729959578
58,08/2006,0.7212294608640873
59,09/2006,0.7170140164838049
60,10/2006,0.0
61,11/2006,0.6774318861882513
62,12/2006,0.6175967242374928
63,01/2007,1.0
64,02/2007,0.7557982046301643
65,03/2007,0.7116541550737572
66,04/2007,0.8307575200797942
67,05/2007,0.8289044044306788
68,06/2007,0.7843456349414667
69,07/2007,0.7979788965300015
70,08/2007,0.880560659352197
71,09/2007,0.6806131555462229
72,10/2007,0.5709171085096331
73,11/2007,0.6605543598089139
74,12/2007,0.5901779620977479
75,01/2008,0.7178592052076225
76,02/2008,0.7355031760197386
77,03/2008,0.6786707963672634
78,04/2008,0.7022783348207254
79,05/2008,0.7130348049766392
80,06/2008,0.7339282901989606
81,07/2008,0.7669693947188828
82,08/2008,0.61097170455142
83,09/2008,0.6293873694157174
84,10/2008,0.7760197385689538
85,11/2008,0.701328153708856
86,12/2008,0.6233660559609429
87,01/2009,0.7887448160008399
88,02/2009,0.8242637408787863
89,03/2009,0.7734054281064623
90,04/2009,0.6419759567431361
