,Data,4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões)
0,10/2001,0.027577814940728862
1,11/2001,0.03788866061345686
2,12/2001,0.009107617898870823
3,01/2002,0.005310410878030969
4,02/2002,0.0
5,03/2002,0.0412173541648303
6,04/2002,0.05270066662604633
7,05/2002,0.07143292360095188
8,06/2002,0.07067513855753449
9,07/2002,0.09097857201590343
10,08/2002,0.09655991618814608
11,09/2002,0.08081088323662355
12,10/2002,0.12806212299306752
13,11/2002,0.14486945215276614
14,12/2002,0.11100042414666367
15,01/2003,0.09287687974761794
16,02/2003,0.1176992202681767
17,03/2003,0.1609828844694292
18,04/2003,0.17694073718701442
19,05/2003,0.16639740945178594
20,06/2003,0.15685913775774896
21,07/2003,0.20404885554345498
22,08/2003,0.19723884662868463
23,09/2003,0.21936546002757829
24,10/2003,0.2570245963655895
25,11/2003,0.2494437881443612
26,12/2003,0.250372533279541
27,01/2004,0.1956960649009467
28,02/2004,0.18565556096501934
29,03/2004,0.27144439981472424
30,04/2004,0.26902138065950365
31,05/2004,0.2840765167679905
32,06/2004,0.3186429909615943
33,07/2004,0.3543062125950853
34,08/2004,0.34133927414722565
35,09/2004,0.31485879820379503
36,10/2004,0.3493702575581812
37,11/2004,0.38714119824686044
38,12/2004,0.39625650639207355
39,01/2005,0.3079825348589993
40,02/2005,0.2911911777493962
41,03/2005,0.37854705218068774
42,04/2005,0.38866386702262634
43,05/2005,0.3905438364746019
44,06/2005,0.4105686463924165
45,07/2005,0.4294505673922908
46,08/2005,0.44822009248408556
47,09/2005,0.4144557701397198
48,10/2005,0.45967501018957635
49,11/2005,0.4928702543046153
50,12/2005,0.5146726942423125
51,01/2006,0.43827127994685444
52,02/2006,0.3963736347594402
53,03/2006,0.46582957349302223
54,04/2006,0.43511118025759954
55,05/2006,0.5110890394468226
56,06/2006,0.5181735310002702
57,07/2006,0.5649213554000021
58,08/2006,0.5817428819375634
59,09/2006,0.529906480688904
60,10/2006,0.6080890743487102
61,11/2006,0.6403431506229396
62,12/2006,0.6500151142918495
63,01/2007,0.5895076645135948
64,02/2007,0.5396588961657023
65,03/2007,0.6277098505548513
66,04/2007,0.6131575382456655
67,05/2007,0.6806495063749185
68,06/2007,0.6951473954022973
69,07/2007,0.7237515624510116
70,08/2007,0.7308218566265965
71,09/2007,0.6597391350129225
72,10/2007,0.7717594041360509
73,11/2007,0.7717558547915853
74,12/2007,0.774845559148938
75,01/2008,0.7440076713165051
76,02/2008,0.7169924274735824
77,03/2008,0.7728620671500477
78,04/2008,0.8123153971154478
79,05/2008,0.8486535857548243
80,06/2008,0.9128606355811135
81,07/2008,0.9856511834401782
82,08/2008,0.9332326896991516
83,09/2008,0.9097738890108151
84,10/2008,1.0
85,11/2008,0.9418759350304324
86,12/2008,0.9046320719949033
87,01/2009,0.8190402217630421
88,02/2009,0.7840685307429429
89,03/2009,0.891464004027323
90,04/2009,0.8759823550255463
