Data;4248 - Exportações (Kg) - Produtos manufaturados - kg
10/2001;2.987.717.295
11/2001;2.898.308.614
12/2001;2.444.484.105
01/2002;2.307.370.412
02/2002;1.946.769.152
03/2002;2.910.404.152
04/2002;2.399.297.418
05/2002;2.756.566.366
06/2002;2.648.099.197
07/2002;3.644.944.312
08/2002;3.495.582.372
09/2002;4.006.982.093
10/2002;3.944.362.889
11/2002;3.056.184.057
12/2002;2.970.120.077
01/2003;2.957.474.756
02/2003;2.845.002.405
03/2003;2.754.028.951
04/2003;3.007.154.967
05/2003;3.613.045.521
06/2003;2.824.978.599
07/2003;4.095.592.027
08/2003;3.451.193.141
09/2003;4.337.867.863
10/2003;4.622.834.636
11/2003;3.890.026.967
12/2003;3.698.228.998
01/2004;3.147.842.270
02/2004;2.913.327.982
03/2004;4.420.980.186
04/2004;3.840.461.097
05/2004;4.110.098.663
06/2004;4.420.394.141
07/2004;4.566.298.693
08/2004;4.359.941.977
09/2004;4.827.776.942
10/2004;4.101.230.613
11/2004;4.350.466.560
12/2004;4.585.637.121
01/2005;3.883.237.095
02/2005;3.515.611.220
03/2005;4.301.919.952
04/2005;3.914.763.122
05/2005;4.109.680.113
06/2005;4.559.869.866
07/2005;4.939.361.006
08/2005;5.087.864.371
09/2005;4.679.281.023
10/2005;4.333.586.020
11/2005;4.775.631.178
12/2005;4.457.671.991
01/2006;4.542.569.352
02/2006;3.638.164.573
03/2006;4.697.831.341
04/2006;4.010.459.767
05/2006;4.005.009.557
06/2006;4.242.103.891
07/2006;5.912.976.436
08/2006;5.164.398.452
09/2006;4.748.907.326
10/2006;5.019.023.032
11/2006;4.602.214.239
12/2006;4.917.691.154
01/2007;4.379.042.768
02/2007;3.843.022.137
03/2007;4.981.392.717
04/2007;4.774.085.020
05/2007;4.860.721.673
06/2007;4.639.017.972
07/2007;5.148.835.042
08/2007;5.422.604.219
09/2007;4.673.868.202
10/2007;4.927.224.819
11/2007;4.536.962.444
12/2007;3.935.776.010
01/2008;4.505.494.818
02/2008;3.908.251.268
03/2008;3.566.829.969
04/2008;4.182.852.156
05/2008;4.657.671.715
06/2008;4.368.347.506
07/2008;4.872.206.234
08/2008;4.407.729.769
09/2008;3.990.931.005
10/2008;4.350.499.334
11/2008;3.566.558.722
12/2008;4.268.954.940
01/2009;2.820.380.404
02/2009;3.299.574.332
03/2009;3.492.002.216
04/2009;3.649.544.282
Fonte;MDIC/Secex
