Data;4221 - Exportações (Kg) - Produtos semimanufaturados - kg
10/2001;2.688.600.628
11/2001;2.777.316.720
12/2001;2.423.686.265
01/2002;2.292.082.036
02/2002;1.854.382.822
03/2002;1.839.871.613
04/2002;1.864.640.309
05/2002;1.288.057.474
06/2002;1.495.260.662
07/2002;3.417.824.689
08/2002;2.888.955.001
09/2002;3.531.132.001
10/2002;3.866.506.142
11/2002;2.748.908.982
12/2002;2.402.540.095
01/2003;2.840.079.839
02/2003;2.437.709.567
03/2003;1.983.558.934
04/2003;1.572.422.266
05/2003;2.589.807.668
06/2003;2.414.131.431
07/2003;2.573.928.799
08/2003;3.169.599.632
09/2003;3.315.964.512
10/2003;3.263.509.105
11/2003;2.316.006.276
12/2003;3.381.976.897
01/2004;2.625.994.374
02/2004;2.361.189.447
03/2004;2.929.190.588
04/2004;1.572.887.880
05/2004;2.343.388.571
06/2004;3.191.282.337
07/2004;3.586.352.719
08/2004;3.446.469.025
09/2004;3.351.746.693
10/2004;3.042.247.043
11/2004;3.424.508.814
12/2004;3.114.427.896
01/2005;2.718.691.812
02/2005;3.307.367.171
03/2005;3.426.990.930
04/2005;2.674.425.485
05/2005;3.127.577.591
06/2005;3.504.414.294
07/2005;3.476.457.604
08/2005;2.884.045.032
09/2005;3.075.132.435
10/2005;2.971.722.311
11/2005;3.848.057.467
12/2005;3.296.542.676
01/2006;2.807.254.179
02/2006;2.716.084.049
03/2006;3.198.980.181
04/2006;2.356.824.573
05/2006;2.114.375.744
06/2006;3.492.737.815
07/2006;3.924.430.399
08/2006;3.569.680.014
09/2006;3.233.305.380
10/2006;3.637.082.338
11/2006;3.389.880.927
12/2006;3.872.558.755
01/2007;3.336.509.926
02/2007;2.562.316.802
03/2007;2.662.382.114
04/2007;2.458.131.502
05/2007;3.106.469.607
06/2007;3.282.338.383
07/2007;3.362.661.995
08/2007;3.560.317.698
09/2007;3.101.875.098
10/2007;3.756.904.292
11/2007;3.407.224.011
12/2007;2.885.574.117
01/2008;3.011.214.432
02/2008;3.005.914.755
03/2008;2.256.237.426
04/2008;2.528.909.282
05/2008;3.700.270.746
06/2008;3.141.127.226
07/2008;4.270.477.707
08/2008;3.742.933.654
09/2008;3.536.070.785
10/2008;3.800.671.283
11/2008;3.457.949.659
12/2008;2.847.014.792
01/2009;3.102.309.636
02/2009;2.566.949.189
03/2009;2.459.650.725
04/2009;2.674.195.998
Fonte;MDIC/Secex
