Data;4194 - Exportações (Kg) - Produtos básicos - kg
10/2001;18.935.005.179
11/2001;15.198.229.070
12/2001;14.873.965.983
01/2002;15.128.013.688
02/2002;13.344.970.960
03/2002;16.018.435.656
04/2002;19.082.919.473
05/2002;14.520.325.253
06/2002;7.513.245.622
07/2002;30.334.220.566
08/2002;25.793.262.006
09/2002;27.404.014.253
10/2002;21.149.156.870
11/2002;17.434.287.442
12/2002;16.931.443.424
01/2003;19.524.894.768
02/2003;18.068.218.872
03/2003;19.203.800.936
04/2003;21.815.986.698
05/2003;22.900.348.457
06/2003;18.496.554.069
07/2003;17.940.618.514
08/2003;17.890.651.693
09/2003;25.826.406.677
10/2003;28.123.644.386
11/2003;17.726.609.425
12/2003;14.667.050.412
01/2004;26.496.164.085
02/2004;19.200.835.572
03/2004;29.004.766.109
04/2004;14.035.815.843
05/2004;18.845.326.990
06/2004;26.142.793.196
07/2004;28.740.380.438
08/2004;29.988.956.543
09/2004;25.141.627.568
10/2004;22.540.729.350
11/2004;24.116.894.352
12/2004;22.017.187.022
01/2005;19.935.735.533
02/2005;22.144.289.590
03/2005;23.488.589.975
04/2005;26.024.610.343
05/2005;23.846.658.768
06/2005;24.690.718.492
07/2005;27.992.290.534
08/2005;28.998.221.626
09/2005;24.941.245.708
10/2005;24.435.984.421
11/2005;26.991.406.230
12/2005;27.180.778.690
01/2006;23.346.023.461
02/2006;21.150.320.446
03/2006;30.353.384.744
04/2006;22.549.229.887
05/2006;19.907.118.373
06/2006;27.324.047.813
07/2006;40.258.806.252
08/2006;30.982.336.213
09/2006;28.517.152.940
10/2006;29.878.125.661
11/2006;26.952.015.351
12/2006;23.942.669.113
01/2007;27.843.471.440
02/2007;24.320.698.302
03/2007;27.863.542.268
04/2007;28.912.330.774
05/2007;31.069.856.023
06/2007;27.182.423.382
07/2007;36.448.716.139
08/2007;34.312.371.207
09/2007;30.891.243.959
10/2007;34.870.872.824
11/2007;28.648.524.486
12/2007;29.952.675.205
01/2008;29.337.574.928
02/2008;27.664.637.394
03/2008;19.508.785.213
04/2008;24.666.746.256
05/2008;46.959.514.281
06/2008;35.330.699.033
07/2008;37.106.421.241
08/2008;34.544.994.773
09/2008;36.467.597.201
10/2008;33.615.285.801
11/2008;24.959.043.955
12/2008;22.375.381.617
01/2009;23.307.313.424
02/2009;23.512.379.241
03/2009;29.581.179.237
04/2009;33.332.631.133
Fonte;MDIC/Secex
