Data;4193 - Exportações (Kg) - Total - kg
10/2001;24.980.515.780
11/2001;21.266.401.359
12/2001;20.037.261.490
01/2002;20.123.467.686
02/2002;17.559.147.833
03/2002;21.175.718.643
04/2002;23.810.844.229
05/2002;18.968.824.401
06/2002;12.093.744.328
07/2002;37.940.007.022
08/2002;32.652.376.879
09/2002;35.510.030.598
10/2002;29.438.795.271
11/2002;23.641.474.966
12/2002;22.693.422.579
01/2003;25.759.578.175
02/2003;23.733.725.641
03/2003;24.420.316.771
04/2003;26.858.481.534
05/2003;29.514.309.305
06/2003;24.119.522.943
07/2003;24.833.042.486
08/2003;24.945.196.720
09/2003;33.977.923.997
10/2003;36.455.895.873
11/2003;24.290.469.256
12/2003;22.219.989.033
01/2004;32.693.675.263
02/2004;24.753.835.286
03/2004;36.912.969.113
04/2004;19.822.876.417
05/2004;25.705.317.504
06/2004;34.269.174.036
07/2004;37.311.383.481
08/2004;38.307.945.336
09/2004;33.817.106.111
10/2004;30.010.889.468
11/2004;32.230.966.013
12/2004;30.215.162.864
01/2005;27.018.457.908
02/2005;29.351.973.932
03/2005;31.668.559.253
04/2005;33.010.775.823
05/2005;31.461.522.020
06/2005;33.084.167.481
07/2005;36.821.101.110
08/2005;37.789.606.810
09/2005;33.163.484.594
10/2005;32.185.612.183
11/2005;36.082.178.540
12/2005;35.351.999.772
01/2006;31.167.339.071
02/2006;27.942.179.887
03/2006;38.767.003.017
04/2006;29.342.140.235
05/2006;26.402.215.540
06/2006;35.422.268.402
07/2006;50.688.205.992
08/2006;40.245.678.817
09/2006;36.896.360.173
10/2006;38.913.430.658
11/2006;35.419.809.654
12/2006;33.182.782.067
01/2007;36.004.093.302
02/2007;31.187.984.623
03/2007;36.019.044.061
04/2007;36.662.255.709
05/2007;39.526.441.325
06/2007;35.567.014.701
07/2007;45.466.533.677
08/2007;43.845.494.959
09/2007;39.116.271.100
10/2007;44.018.643.028
11/2007;37.024.148.034
12/2007;37.217.023.421
01/2008;37.405.538.248
02/2008;35.094.882.988
03/2008;25.770.325.785
04/2008;31.859.058.177
05/2008;55.887.968.183
06/2008;43.447.585.091
07/2008;46.864.653.626
08/2008;43.191.700.772
09/2008;44.567.344.527
10/2008;42.459.154.290
11/2008;32.438.297.106
12/2008;29.955.332.951
01/2009;29.834.582.806
02/2009;29.769.581.160
03/2009;36.208.430.825
04/2009;40.281.390.771
Fonte;MDIC/Secex
