Data;3034 - Importações - Total (MDIC) - US$
10/2001;4.758.997.661
11/2001;4.213.531.606
12/2001;3.505.889.252
01/2002;3.803.140.301
02/2002;3.397.513.343
03/2002;3.663.201.453
04/2002;4.140.122.107
05/2002;4.063.478.596
06/2002;3.399.588.245
07/2002;5.024.547.888
08/2002;4.174.508.020
09/2002;4.002.250.105
10/2002;4.283.325.666
11/2002;3.848.469.707
12/2002;3.442.508.768
01/2003;3.650.452.628
02/2003;3.891.052.706
03/2003;3.702.909.697
04/2003;3.989.640.635
05/2003;3.855.279.744
06/2003;3.521.547.239
07/2003;4.049.624.105
08/2003;3.734.089.225
09/2003;4.624.716.527
10/2003;5.032.619.513
11/2003;4.269.258.407
12/2003;4.004.376.204
01/2004;4.217.055.211
02/2004;3.761.400.163
03/2004;5.345.306.648
04/2004;4.634.631.536
05/2004;4.835.513.254
06/2004;5.530.225.685
07/2004;5.530.206.059
08/2004;5.623.489.343
09/2004;5.753.223.765
10/2004;5.840.486.950
11/2004;6.078.106.745
12/2004;5.685.970.270
01/2005;5.262.674.702
02/2005;4.979.386.828
03/2005;5.909.740.544
04/2005;5.331.865.601
05/2005;6.372.331.226
06/2005;6.176.002.427
07/2005;6.056.909.816
08/2005;7.695.788.932
09/2005;6.314.921.976
10/2005;6.228.019.750
11/2005;6.712.248.586
12/2005;6.560.485.284
01/2006;6.451.583.442
02/2006;5.971.518.694
03/2006;7.706.591.108
04/2006;6.741.387.155
05/2006;7.287.576.650
06/2006;7.365.110.533
07/2006;7.991.677.185
08/2006;9.117.177.055
09/2006;8.108.928.969
10/2006;8.738.125.726
11/2006;8.658.192.546
12/2006;7.212.971.742
01/2007;8.460.558.886
02/2007;7.228.890.125
03/2007;9.585.314.219
04/2007;8.265.465.151
05/2007;9.793.819.576
06/2007;9.295.617.598
07/2007;10.775.199.036
08/2007;11.559.257.073
09/2007;10.690.974.289
10/2007;12.339.139.645
11/2007;12.030.737.023
12/2007;10.592.473.629
01/2008;12.354.335.506
02/2008;11.952.229.583
03/2008;11.626.158.922
04/2008;12.326.151.785
05/2008;15.226.891.780
06/2008;15.865.662.420
07/2008;17.123.308.265
08/2008;17.446.643.280
09/2008;17.259.382.504
10/2008;17.184.275.994
11/2008;13.118.556.063
12/2008;11.501.171.512
01/2009;10.311.642.361
02/2009;7.825.670.189
03/2009;10.053.047.413
04/2009;8.629.548.972
Fonte;MDIC/Secex
