Data;3001 - Exportações - Produtos manufaturados - US$
10/2001;2.781.242.642
11/2001;2.655.034.881
12/2001;2.586.469.908
01/2002;2.064.080.581
02/2002;2.202.974.543
03/2002;2.531.706.977
04/2002;2.662.070.348
05/2002;2.585.484.872
06/2002;2.496.544.488
07/2002;3.113.114.383
08/2002;3.070.405.282
09/2002;3.017.299.870
10/2002;3.380.612.147
11/2002;2.835.549.822
12/2002;3.108.609.492
01/2003;2.554.442.979
02/2003;2.833.539.804
03/2003;2.890.194.135
04/2003;3.097.084.269
05/2003;3.340.431.503
06/2003;3.048.179.483
07/2003;3.380.386.342
08/2003;3.360.611.136
09/2003;3.848.074.778
10/2003;4.025.682.917
11/2003;3.468.203.622
12/2003;3.916.871.162
01/2004;2.978.527.530
02/2004;3.148.654.403
03/2004;4.284.992.907
04/2004;3.823.521.892
05/2004;4.261.516.012
06/2004;4.613.619.933
07/2004;4.765.905.521
08/2004;4.711.743.506
09/2004;4.840.345.963
10/2004;5.301.900.383
11/2004;4.683.532.684
12/2004;5.723.193.419
01/2005;4.353.000.539
02/2005;4.551.099.373
03/2005;5.404.675.563
04/2005;4.980.453.237
05/2005;5.317.648.078
06/2005;5.511.544.015
07/2005;5.617.195.324
08/2005;5.980.600.371
09/2005;5.900.085.073
10/2005;5.563.719.198
11/2005;5.916.774.823
12/2005;6.256.011.349
01/2006;5.032.873.374
02/2006;5.212.216.533
03/2006;6.442.524.068
04/2006;5.462.626.558
05/2006;5.864.135.123
06/2006;6.189.292.109
07/2006;6.811.903.183
08/2006;7.130.592.015
09/2006;6.589.206.762
10/2006;6.888.335.814
11/2006;6.427.336.352
12/2006;6.967.270.592
01/2007;5.800.889.653
02/2007;5.503.752.727
03/2007;7.291.006.820
04/2007;6.417.618.572
05/2007;7.145.154.825
06/2007;7.014.859.673
07/2007;7.077.937.666
08/2007;7.590.316.123
09/2007;7.649.158.213
10/2007;7.703.077.427
11/2007;7.528.100.527
12/2007;7.221.022.143
01/2008;6.864.214.634
02/2008;6.688.566.817
03/2008;6.987.933.345
04/2008;7.287.256.635
05/2008;7.858.767.975
06/2008;8.317.230.177
07/2008;8.652.365.290
08/2008;8.286.218.794
09/2008;9.290.315.371
10/2008;7.975.998.238
11/2008;7.210.673.151
12/2008;7.263.072.398
01/2009;4.325.881.604
02/2009;4.628.859.714
03/2009;5.599.789.466
04/2009;5.041.298.743
Fonte;MDIC/Secex
