Data;2974 - Exportações - Produtos semimanufaturados - US$
10/2001;782.799.236
11/2001;697.686.644
12/2001;677.887.439
01/2002;652.297.155
02/2002;557.784.554
03/2002;572.079.913
04/2002;588.329.694
05/2002;544.546.058
06/2002;511.727.827
07/2002;943.964.818
08/2002;877.880.104
09/2002;998.491.941
10/2002;1.076.792.315
11/2002;855.283.728
12/2002;786.296.459
01/2003;948.355.818
02/2003;804.305.125
03/2003;723.013.727
04/2003;697.796.624
05/2003;914.264.073
06/2003;879.402.599
07/2003;980.783.814
08/2003;1.014.357.923
09/2003;1.033.818.785
10/2003;1.058.087.800
11/2003;816.573.658
12/2003;1.074.189.115
01/2004;985.731.738
02/2004;881.333.210
03/2004;1.070.027.189
04/2004;790.874.715
05/2004;1.009.688.695
06/2004;1.213.030.358
07/2004;1.348.030.516
08/2004;1.215.139.269
09/2004;1.285.027.979
10/2004;1.120.669.881
11/2004;1.267.465.686
12/2004;1.245.810.483
01/2005;1.166.489.055
02/2005;1.225.184.227
03/2005;1.411.417.796
04/2005;1.238.867.597
05/2005;1.323.392.589
06/2005;1.450.683.576
07/2005;1.412.664.777
08/2005;1.234.738.235
09/2005;1.245.798.165
10/2005;1.272.450.187
11/2005;1.478.258.606
12/2005;1.502.585.867
01/2006;1.275.415.041
02/2006;1.238.636.341
03/2006;1.541.890.139
04/2006;1.258.787.908
05/2006;1.273.125.359
06/2006;1.758.591.628
07/2006;1.887.581.928
08/2006;1.985.302.035
09/2006;1.741.951.550
10/2006;1.864.200.182
11/2006;1.804.488.332
12/2006;1.892.687.341
01/2007;1.738.625.934
02/2007;1.507.514.898
03/2007;1.632.658.293
04/2007;1.595.186.328
05/2007;1.870.138.391
06/2007;1.841.643.542
07/2007;1.903.968.491
08/2007;2.049.829.705
09/2007;1.801.278.739
10/2007;2.128.595.858
11/2007;1.938.008.109
12/2007;1.792.422.873
01/2008;2.015.694.464
02/2008;1.925.449.156
03/2008;1.645.121.998
04/2008;1.818.583.321
05/2008;2.603.126.274
06/2008;2.190.418.383
07/2008;2.966.801.863
08/2008;2.788.142.928
09/2008;2.746.270.365
10/2008;2.777.266.400
11/2008;2.048.167.021
12/2008;1.548.118.877
01/2009;1.659.868.679
02/2009;1.303.976.933
03/2009;1.343.038.016
04/2009;1.433.670.151
Fonte;MDIC/Secex
