Data;2947 - Exportações - Produtos básicos - US$
10/2001;1.361.832.159
11/2001;1.061.455.634
12/2001;1.027.624.268
01/2002;863.379.455
02/2002;823.064.931
03/2002;1.058.473.397
04/2002;1.305.342.440
05/2002;1.226.962.019
06/2002;977.682.499
07/2002;2.069.143.595
08/2002;1.721.393.007
09/2002;2.371.521.854
10/2002;1.913.547.729
11/2002;1.357.118.755
12/2002;1.271.507.885
01/2003;1.211.201.248
02/2003;1.271.127.783
03/2003;1.496.853.050
04/2003;1.785.201.636
05/2003;2.026.180.182
06/2003;1.833.388.114
07/2003;1.694.033.069
08/2003;1.929.375.933
09/2003;2.281.230.393
10/2003;2.387.892.283
11/2003;1.616.832.752
12/2003;1.652.964.187
01/2004;1.740.539.129
02/2004;1.618.078.336
03/2004;2.452.782.643
04/2004;1.898.813.260
05/2004;2.577.222.857
06/2004;3.381.306.049
07/2004;2.778.036.865
08/2004;2.966.368.149
09/2004;2.654.271.767
10/2004;2.303.633.733
11/2004;2.102.279.477
12/2004;2.055.238.416
01/2005;1.770.694.951
02/2005;1.860.239.778
03/2005;2.280.389.067
04/2005;2.833.865.712
05/2005;3.006.334.510
06/2005;3.069.683.886
07/2005;3.846.177.116
08/2005;3.839.732.323
09/2005;3.258.764.396
10/2005;2.857.233.384
11/2005;3.162.990.086
12/2005;2.945.462.956
01/2006;2.741.580.593
02/2006;2.089.394.866
03/2006;3.159.264.246
04/2006;2.828.176.876
05/2006;2.922.455.395
06/2006;3.308.984.653
07/2006;4.655.373.680
08/2006;4.254.738.207
09/2006;4.003.769.348
10/2006;3.715.206.200
11/2006;3.413.388.625
12/2006;3.192.794.943
01/2007;3.194.486.170
02/2007;2.904.834.757
03/2007;3.731.706.718
04/2007;4.178.447.747
05/2007;4.374.212.012
06/2007;3.995.434.823
07/2007;4.877.459.144
08/2007;5.125.723.383
09/2007;4.444.011.893
10/2007;5.616.782.920
11/2007;4.275.043.440
12/2007;4.877.491.513
01/2008;3.992.542.773
02/2008;3.791.708.108
03/2008;3.664.273.877
04/2008;4.610.412.160
05/2008;8.358.912.750
06/2008;7.585.843.414
07/2008;8.317.789.770
08/2008;8.183.189.443
09/2008;7.426.652.788
10/2008;7.180.107.030
11/2008;5.174.602.867
12/2008;4.741.624.971
01/2009;3.558.542.689
02/2009;3.489.181.535
03/2009;4.601.160.849
04/2009;5.594.067.276
Fonte;MDIC/Secex
