Data;2946 - Exportações - Total - US$
10/2001;5.008.557.126
11/2001;4.506.283.984
12/2001;4.351.541.580
01/2002;3.975.967.550
02/2002;3.662.989.817
03/2002;4.266.107.599
04/2002;4.647.813.517
05/2002;4.447.740.894
06/2002;4.084.584.760
07/2002;6.230.571.298
08/2002;5.758.053.735
09/2002;6.497.975.108
10/2002;6.482.182.856
11/2002;5.134.789.656
12/2002;5.249.876.245
01/2003;4.811.181.392
02/2003;5.009.028.475
03/2003;5.246.395.514
04/2003;5.720.005.413
05/2003;6.381.488.142
06/2003;5.882.943.168
07/2003;6.114.523.476
08/2003;6.413.605.268
09/2003;7.291.199.616
10/2003;7.578.687.865
11/2003;5.993.129.201
12/2003;6.761.034.545
01/2004;5.809.452.343
02/2004;5.733.238.238
03/2004;7.944.136.093
04/2004;6.606.292.414
05/2004;7.960.023.354
06/2004;9.347.432.832
07/2004;9.011.284.343
08/2004;9.073.756.285
09/2004;8.939.578.126
10/2004;8.861.649.754
11/2004;8.177.309.337
12/2004;9.213.345.647
01/2005;7.457.189.902
02/2005;7.771.878.760
03/2005;9.270.434.926
04/2005;9.220.566.717
05/2005;9.835.725.485
06/2005;10.224.832.499
07/2005;11.079.534.680
08/2005;11.366.262.079
09/2005;10.654.222.622
10/2005;9.922.943.795
11/2005;10.809.253.532
12/2005;10.916.339.902
01/2006;9.286.850.191
02/2006;8.774.460.707
03/2006;11.396.765.577
04/2006;9.830.693.648
05/2006;10.304.884.611
06/2006;11.463.247.538
07/2006;13.651.047.549
08/2006;13.671.699.785
09/2006;12.576.856.844
10/2006;12.689.255.149
11/2006;11.896.874.788
12/2006;12.264.833.144
01/2007;10.983.867.609
02/2007;10.129.505.211
03/2007;12.888.955.944
04/2007;12.446.172.314
05/2007;13.647.281.258
06/2007;13.118.083.296
07/2007;14.119.547.669
08/2007;15.100.028.780
09/2007;14.165.675.118
10/2007;15.767.821.852
11/2007;14.051.330.343
12/2007;14.230.803.436
01/2008;13.276.884.351
02/2008;12.799.919.840
03/2008;12.612.774.542
04/2008;14.058.430.155
05/2008;19.303.363.465
06/2008;18.593.307.478
07/2008;20.451.410.348
08/2008;19.746.866.637
09/2008;20.017.207.512
10/2008;18.512.307.590
11/2008;14.752.572.586
12/2008;13.817.398.405
01/2009;9.781.920.008
02/2009;9.586.405.593
03/2009;11.809.225.427
04/2009;12.321.617.241
Fonte;MDIC/Secex
