Data;1402 - Consumo de energia elétrica - Comercial - GWh
10/2001;3.266
11/2001;3.412
12/2001;3.501
01/2002;3.639
02/2002;3.708
03/2002;3.696
04/2002;3.959
05/2002;3.903
06/2002;3.631
07/2002;3.450
08/2002;3.625
09/2002;3.692
10/2002;3.822
11/2002;4.056
12/2002;4.074
01/2003;4.182
02/2003;4.153
03/2003;4.221
04/2003;3.948
05/2003;3.938
06/2003;3.711
07/2003;3.667
08/2003;3.720
09/2003;3.686
10/2003;4.001
11/2003;4.076
12/2003;4.219
01/2004;4.245
02/2004;4.147
03/2004;4.204
04/2004;4.447
05/2004;4.106
06/2004;3.840
07/2004;3.887
08/2004;3.867
09/2004;4.121
10/2004;4.188
11/2004;4.233
12/2004;4.400
01/2005;4.493
02/2005;4.366
03/2005;4.553
04/2005;4.687
05/2005;4.378
06/2005;4.298
07/2005;4.147
08/2005;4.142
09/2005;4.361
10/2005;4.412
11/2005;4.537
12/2005;4.662
01/2006;4.643
02/2006;4.826
03/2006;4.875
04/2006;4.834
05/2006;4.419
06/2006;4.320
07/2006;4.231
08/2006;4.408
09/2006;4.512
10/2006;4.582
11/2006;4.768
12/2006;4.952
01/2007;4.942
02/2007;4.924
03/2007;5.099
04/2007;5.287
05/2007;4.864
06/2007;4.587
07/2007;4.487
08/2007;4.520
09/2007;4.787
10/2007;4.882
11/2007;5.106
12/2007;5.162
01/2008;5.228
02/2008;5.190
03/2008;5.242
04/2008;5.206
05/2008;5.091
06/2008;4.829
07/2008;4.791
08/2008;4.984
09/2008;5.104
10/2008;5.261
11/2008;5.501
12/2008;5.386
01/2009;5.368
02/2009;5.443
03/2009;5.698
04/2009;5.686
Fonte;Eletrobras
