,Data,1402 - Consumo de energia elétrica - Comercial - GWh
0,10/2001,0.0
1,11/2001,0.060032894736842035
2,12/2001,0.09662828947368407
3,01/2002,0.1533717105263157
4,02/2002,0.18174342105263142
5,03/2002,0.1768092105263157
6,04/2002,0.2849506578947367
7,05/2002,0.26192434210526305
8,06/2002,0.1500822368421053
9,07/2002,0.07565789473684204
10,08/2002,0.14761513157894735
11,09/2002,0.1751644736842104
12,10/2002,0.22861842105263142
13,11/2002,0.3248355263157894
14,12/2002,0.33223684210526305
15,01/2003,0.3766447368421051
16,02/2003,0.36472039473684204
17,03/2003,0.3926809210526314
18,04/2003,0.28042763157894735
19,05/2003,0.27631578947368407
20,06/2003,0.1829769736842104
21,07/2003,0.16488486842105265
22,08/2003,0.18667763157894735
23,09/2003,0.17269736842105265
24,10/2003,0.30222039473684204
25,11/2003,0.3330592105263157
26,12/2003,0.391858552631579
27,01/2004,0.40254934210526305
28,02/2004,0.36225328947368407
29,03/2004,0.38569078947368407
30,04/2004,0.48560855263157876
31,05/2004,0.3453947368421051
32,06/2004,0.2360197368421053
33,07/2004,0.25534539473684204
34,08/2004,0.2471217105263157
35,09/2004,0.3515625
36,10/2004,0.37911184210526305
37,11/2004,0.39761513157894735
38,12/2004,0.46628289473684204
39,01/2005,0.5045230263157894
40,02/2005,0.45230263157894735
41,03/2005,0.5291940789473684
42,04/2005,0.5842927631578947
43,05/2005,0.45723684210526305
44,06/2005,0.42434210526315774
45,07/2005,0.36225328947368407
46,08/2005,0.36019736842105265
47,09/2005,0.4502467105263157
48,10/2005,0.47121710526315774
49,11/2005,0.5226151315789473
50,12/2005,0.5740131578947367
51,01/2006,0.5662006578947367
52,02/2006,0.6414473684210527
53,03/2006,0.661595394736842
54,04/2006,0.644736842105263
55,05/2006,0.47409539473684204
56,06/2006,0.4333881578947367
57,07/2006,0.3967927631578947
58,08/2006,0.46957236842105265
59,09/2006,0.5123355263157894
60,10/2006,0.5411184210526314
61,11/2006,0.6175986842105263
62,12/2006,0.6932565789473681
63,01/2007,0.6891447368421053
64,02/2007,0.6817434210526314
65,03/2007,0.7537006578947367
66,04/2007,0.8310032894736841
67,05/2007,0.6570723684210527
68,06/2007,0.543174342105263
69,07/2007,0.5020559210526314
70,08/2007,0.515625
71,09/2007,0.6254111842105263
72,10/2007,0.6644736842105261
73,11/2007,0.7565789473684208
74,12/2007,0.7796052631578947
75,01/2008,0.8067434210526314
76,02/2008,0.7911184210526314
77,03/2008,0.8125
78,04/2008,0.7976973684210527
79,05/2008,0.7504111842105261
80,06/2008,0.6426809210526314
81,07/2008,0.6270559210526314
82,08/2008,0.7064144736842106
83,09/2008,0.7557565789473681
84,10/2008,0.8203125
85,11/2008,0.9189967105263155
86,12/2008,0.8717105263157894
87,01/2009,0.8643092105263155
88,02/2009,0.8951480263157894
89,03/2009,1.0
90,04/2009,0.9950657894736841
